department_no,department,head,head_no,name,party,state,president,start_date,end_date,birth_country
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,4,William O. Douglas,,Illinois,Franklin D. Roosevelt,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,5,Jerome Frank,,Iowa,Franklin D. Roosevelt,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,6,Ganson Purcell,,none,Franklin D. Roosevelt,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,7,James J. Caffrey,,none,Harry S. Truman,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,8,Edmond M. Hanrahan,,New York,Harry S. Truman,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,9,Harry A. McDonald,,none,Harry S. Truman,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,10,Donald C. Cook,,Michigan,Harry S. Truman,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,11,Ralph H. Demmler,,Pennsylvania,Dwight D. Eisenhower,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,12,J. Sinclair Armstrong,,New York,Dwight D. Eisenhower,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,13,Edward N. Gadsby,,Massachusetts,Dwight D. Eisenhower,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,14,William L. Cary,,none,John F. Kennedy,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,15,Manuel F. Cohen,,none,Lyndon B. Johnson,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,16,Hamer H. Budge,,Idaho,Richard Nixon,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,17,William J. Casey,,New York,Richard Nixon,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,18,G. Bradford Cook,,Nebraska,Richard Nixon,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,19,Ray Garrett Jr.,,Illinois,Richard Nixon,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,20,Roderick M. Hills,,California,Gerald Ford,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,21,Harold M. Williams,,California,Jimmy Carter,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,22,John S. R. Shad,,,Ronald Reagan,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,23,David Sturtevant Ruder,,Illinois,Ronald Reagan,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,24,Richard C. Breeden,,New York,George H. W. Bush,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,25,Arthur Levitt,,New York,Bill Clinton,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,26,Harvey Pitt,,New York,George W. Bush,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,27,William H. Donaldson,,New York,George W. Bush,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,28,Christopher Cox,,California,George W. Bush,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,29,Mary Schapiro,,New York,Barack Obama,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,30,Elisse B. Walter,,New York,Barack Obama,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,31,Mary Jo White,,New York,Barack Obama,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,32,Jay Clayton,,Jay Clayton,Donald Trump,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,33,Gary Gensler,,Gary Gensler,Joe Biden,,,
0,White House,Chief of Staff,1,John Steelman,Democratic,,Harry S Truman,,,
0,White House,Chief of Staff,2,Sherman Adams,Republican,,Dwight D. Eisenhower,,,
0,White House,Chief of Staff,3,Wilton Persons,Republican,,Dwight D. Eisenhower,,,
0,White House,Chief of Staff,4,H. R. Haldeman,Republican,,Richard Nixon,,,
0,White House,Chief of Staff,5,Alexander Haig,Republican,,Richard Nixon,,,
0,White House,Chief of Staff,6,Donald Rumsfeld,Republican,,Gerald Ford,,,
0,White House,Chief of Staff,7,Dick Cheney,Republican,,Gerald Ford,,,
0,White House,Chief of Staff,8,Hamilton Jordan,Democratic,,Jimmy Carter,,,
0,White House,Chief of Staff,9,Jack Watson,Democratic,,Jimmy Carter,,,
0,White House,Chief of Staff,10,James Baker,Republican,,Ronald Reagan,,,
0,White House,Chief of Staff,11,Donald Regan,Republican,,Ronald Reagan,,,
0,White House,Chief of Staff,12,Howard Baker,Republican,,Ronald Reagan,,,
0,White House,Chief of Staff,13,Kenneth Duberstein,Republican,,Ronald Reagan,,,
0,White House,Chief of Staff,14,John Sununu,Republican,,George H. W. Bush,,,
0,White House,Chief of Staff,15,Samuel Skinner,Republican,,George H. W. Bush,,,
0,White House,Chief of Staff,16,James Baker,Republican,,George H. W. Bush,,,
0,White House,Chief of Staff,17,Mack McLarty,Democratic,,Bill Clinton,,,
0,White House,Chief of Staff,18,Leon Panetta,Democratic,,Bill Clinton,,,
0,White House,Chief of Staff,19,Erskine Bowles,Democratic,,Bill Clinton,,,
0,White House,Chief of Staff,20,John Podesta,Democratic,,Bill Clinton,,,
0,White House,Chief of Staff,21,Andrew Card,Republican,,George W. Bush,,,
0,White House,Chief of Staff,22,Joshua Bolten,Republican,,George W. Bush,,,
0,White House,Chief of Staff,23,Rahm Emanuel,Democratic,,Barack Obama,,,
0,White House,Chief of Staff,24,Bill Daley,Democratic,,Barack Obama,,,
0,White House,Chief of Staff,25,Jack Lew,Democratic,,Barack Obama,,,
0,White House,Chief of Staff,26,Denis McDonough,Democratic,,Barack Obama,,,
0,White House,Chief of Staff,27,Reince Priebus,Republican,,Donald Trump,,,
0,White House,Chief of Staff,28,John F. Kelly,Independent,,Donald Trump,,,
0,White House,Chief of Staff,29,Mark Meadows,Republican,,Donald Trump,,,
0,White House,Chief of Staff,30,Ron Klain,Democratic,,Joe Biden,,,
0,White House,Chief of Staff,31,Jeff Zients,Democratic,,Joe Biden,,,
1,Department of State,Secretary of State,1,Thomas Jefferson,Democratic-Republican,,George Washington,,,United States
1,Department of State,Secretary of State,2,Edmund Randolph,Federalist,,George Washington,,,United States
1,Department of State,Secretary of State,3,Timothy Pickering,Federalist,,George Washington,,,United States
1,Department of State,Secretary of State,4,John Marshall,Federalist,,John Adams,,,United States
1,Department of State,Secretary of State,5,James Madison,Democratic-Republican,,Thomas Jefferson,,,United States
1,Department of State,Secretary of State,6,Robert Smith,Democratic-Republican,,James Madison,,,United States
1,Department of State,Secretary of State,7,James Monroe,Democratic-Republican,,James Madison,,,United States
1,Department of State,Secretary of State,8,John Quincy Adams,Democratic-Republican,,James Monroe,,,United States
1,Department of State,Secretary of State,9,Henry Clay,Democratic-Republican,,John Quincy Adams,,,United States
1,Department of State,Secretary of State,10,Martin Van Buren,Democratic,,Andrew Jackson,,,United States
1,Department of State,Secretary of State,11,Edward Livingston,Democratic,,Andrew Jackson,,,United States
1,Department of State,Secretary of State,12,Louis McLane,Democratic,,Andrew Jackson,,,United States
1,Department of State,Secretary of State,13,John Forsyth,Democratic,,Andrew Jackson,,,United States
1,Department of State,Secretary of State,14,Daniel Webster,Whig,,William Henry Harrison,,,United States
1,Department of State,Secretary of State,15,Abel P. Upshur,Whig,,John Tyler,,,United States
1,Department of State,Secretary of State,16,John C. Calhoun,Democratic,,John Tyler,,,United States
1,Department of State,Secretary of State,17,James Buchanan,Democratic,,James K. Polk,,,United States
1,Department of State,Secretary of State,18,John M. Clayton,Whig,,Zachary Taylor,,,United States
1,Department of State,Secretary of State,19,Daniel Webster,Whig,,Millard Fillmore,,,United States
1,Department of State,Secretary of State,20,Edward Everett,Whig,,Millard Fillmore,,,United States
1,Department of State,Secretary of State,21,William L. Marcy,Democratic,,Franklin Pierce,,,United States
1,Department of State,Secretary of State,22,Lewis Cass,Democratic,,James Buchanan,,,United States
1,Department of State,Secretary of State,23,Jeremiah S. Black,Democratic,,James Buchanan,,,United States
1,Department of State,Secretary of State,24,William H. Seward,Republican,,Abraham Lincoln,,,United States
1,Department of State,Secretary of State,25,Elihu B. Washburne,Republican,,Ulysses S. Grant,,,United States
1,Department of State,Secretary of State,26,Hamilton Fish,Republican,,Ulysses S. Grant,,,United States
1,Department of State,Secretary of State,27,William M. Evarts,Republican,,Rutherford B. Hayes,,,United States
1,Department of State,Secretary of State,28,James G. Blaine,Republican,,James A. Garfield,,,United States
1,Department of State,Secretary of State,29,Frederick Theodore Frelinghuysen,Republican,,Chester A. Arthur,,,United States
1,Department of State,Secretary of State,30,Thomas F. Bayard,Democratic,,Grover Cleveland,,,United States
1,Department of State,Secretary of State,31,James G. Blaine,Republican,,Benjamin Harrison,,,United States
1,Department of State,Secretary of State,32,John W. Foster,Republican,,Benjamin Harrison,,,United States
1,Department of State,Secretary of State,33,Walter Q. Gresham,Democratic,,Grover Cleveland,,,United States
1,Department of State,Secretary of State,34,Richard Olney,Democratic,,Grover Cleveland,,,United States
1,Department of State,Secretary of State,35,John Sherman,Republican,,William McKinley,,,United States
1,Department of State,Secretary of State,36,William R. Day,Republican,,William McKinley,,,United States
1,Department of State,Secretary of State,37,John Hay,Republican,,William McKinley,,,United States
1,Department of State,Secretary of State,38,Elihu Root,Republican,,Theodore Roosevelt,,,United States
1,Department of State,Secretary of State,39,Robert Bacon,Republican,,Theodore Roosevelt,,,United States
1,Department of State,Secretary of State,40,Philander C. Knox,Republican,,William Howard Taft,,,United States
1,Department of State,Secretary of State,41,William Jennings Bryan,Democratic,,Woodrow Wilson,,,United States
1,Department of State,Secretary of State,42,Robert Lansing,Democratic,,Woodrow Wilson,,,United States
1,Department of State,Secretary of State,43,Bainbridge Colby,Democratic,,Woodrow Wilson,,,United States
1,Department of State,Secretary of State,44,Charles Evans Hughes,Republican,,Warren G. Harding,,,United States
1,Department of State,Secretary of State,45,Frank B. Kellogg,Republican,,Calvin Coolidge,,,United States
1,Department of State,Secretary of State,46,Henry L. Stimson,Republican,,Herbert Hoover,,,United States
1,Department of State,Secretary of State,47,Cordell Hull,Democratic,,Franklin D. Roosevelt,,,United States
1,Department of State,Secretary of State,48,Edward Stettinius Jr.,Democratic,,Franklin D. Roosevelt,,,United States
1,Department of State,Secretary of State,49,James F. Byrnes,Democratic,,Harry S. Truman,,,United States
1,Department of State,Secretary of State,50,George C. Marshall,Independent,,Harry S. Truman,,,United States
1,Department of State,Secretary of State,51,Dean Acheson,Democratic,,Harry S. Truman,,,United States
1,Department of State,Secretary of State,52,John Foster Dulles,Republican,,Dwight D. Eisenhower,,,United States
1,Department of State,Secretary of State,53,Christian Herter,Republican,,Dwight D. Eisenhower,,,United States
1,Department of State,Secretary of State,54,Dean Rusk,Democratic,,Lyndon B. Johnson,,,United States
1,Department of State,Secretary of State,55,William P. Rogers,Republican,,Richard Nixon,,,United States
1,Department of State,Secretary of State,56,Henry Kissinger,Republican,,Richard Nixon,,,Germany
1,Department of State,Secretary of State,57,Cyrus Vance,Democratic,,Jimmy Carter,,,United States
1,Department of State,Secretary of State,58,Edmund Muskie,Democratic,,Jimmy Carter,,,United States
1,Department of State,Secretary of State,59,Alexander Haig,Republican,,Ronald Reagan,,,United States
1,Department of State,Secretary of State,60,George Shultz,Republican,,Ronald Reagan,,,United States
1,Department of State,Secretary of State,61,James Baker,Republican,,George H. W. Bush,,,United States
1,Department of State,Secretary of State,62,Lawrence Eagleburger,Republican,,George H. W. Bush,,,United States
1,Department of State,Secretary of State,63,Warren Christopher,Democratic,,Bill Clinton,,,United States
1,Department of State,Secretary of State,64,Madeleine Albright,Democratic,,Bill Clinton,,,Czech Republic
1,Department of State,Secretary of State,65,Colin Powell,Republican,,George W. Bush,,,United States
1,Department of State,Secretary of State,66,Condoleezza Rice,Republican,,George W. Bush,,,United States
1,Department of State,Secretary of State,67,Hillary Clinton,Democratic,,Barack Obama,,,United States
1,Department of State,Secretary of State,68,John Kerry,Democratic,,Barack Obama,,,United States
1,Department of State,Secretary of State,69,Rex Tillerson,Republican,,Donald Trump,,,United States
1,Department of State,Secretary of State,70,Mike Pompeo,Republican,,Donald Trump,,,United States
1,Department of State,Secretary of State,71,Antony Blinken,Democratic,,Joe Biden,,,United States
2,Department of the Treasury,Secretary of the Treasury,1,Alexander Hamilton,Federalist,,George Washington,,,Saint Kitts and Nevis
2,Department of the Treasury,Secretary of the Treasury,2,Oliver Wolcott Jr.,Federalist,,John Adams,,,United States
2,Department of the Treasury,Secretary of the Treasury,3,Samuel Dexter,Federalist,,Thomas Jefferson,,,United States
2,Department of the Treasury,Secretary of the Treasury,4,Albert Gallatin,Democratic-Republican,,James Madison,,,Switzerland
2,Department of the Treasury,Secretary of the Treasury,5,George W. Campbell,Democratic-Republican,,James Madison,,,United Kingdom
2,Department of the Treasury,Secretary of the Treasury,6,Alexander J. Dallas,Democratic-Republican,,James Madison,,,United States
2,Department of the Treasury,Secretary of the Treasury,7,William H. Crawford,Democratic-Republican,,James Monroe,,,United States
2,Department of the Treasury,Secretary of the Treasury,8,Richard Rush,Federalist,,John Quincy Adams,,,United States
2,Department of the Treasury,Secretary of the Treasury,9,Samuel D. Ingham,Democratic,,Andrew Jackson,,,United States
2,Department of the Treasury,Secretary of the Treasury,10,Louis McLane,Democratic,,Andrew Jackson,,,United States
2,Department of the Treasury,Secretary of the Treasury,11,William J. Duane,Democratic,,Andrew Jackson,,,Ireland
2,Department of the Treasury,Secretary of the Treasury,12,Roger B. Taney,Democratic,,Andrew Jackson,,,United States
2,Department of the Treasury,Secretary of the Treasury,13,Levi Woodbury,Democratic,,Martin Van Buren,,,United States
2,Department of the Treasury,Secretary of the Treasury,14,Thomas Ewing,Whig,,William Henry Harrison,,,United States
2,Department of the Treasury,Secretary of the Treasury,15,Walter Forward,Whig,,John Tyler,,,United States
2,Department of the Treasury,Secretary of the Treasury,16,John Canfield Spencer,Whig,,John Tyler,,,United States
2,Department of the Treasury,Secretary of the Treasury,17,George M. Bibb,Democratic,,John Tyler,,,United States
2,Department of the Treasury,Secretary of the Treasury,18,Robert J. Walker,Democratic,,James K. Polk,,,United States
2,Department of the Treasury,Secretary of the Treasury,19,William M. Meredith,Whig,,Zachary Taylor,,,United States
2,Department of the Treasury,Secretary of the Treasury,20,Thomas Corwin,Whig,,Millard Fillmore,,,United States
2,Department of the Treasury,Secretary of the Treasury,21,James Guthrie,Democratic,,Franklin Pierce,,,United States
2,Department of the Treasury,Secretary of the Treasury,22,Howell Cobb,Democratic,,James Buchanan,,,United States
2,Department of the Treasury,Secretary of the Treasury,23,Philip Francis Thomas,Democratic,,James Buchanan,,,United States
2,Department of the Treasury,Secretary of the Treasury,24,John Adams Dix,Democratic,,James Buchanan,,,United States
2,Department of the Treasury,Secretary of the Treasury,25,Salmon P. Chase,Republican,,Abraham Lincoln,,,United States
2,Department of the Treasury,Secretary of the Treasury,26,William P. Fessenden,Republican,,Abraham Lincoln,,,United States
2,Department of the Treasury,Secretary of the Treasury,27,Hugh McCulloch,Republican,,Andrew Johnson,,,United States
2,Department of the Treasury,Secretary of the Treasury,28,George S. Boutwell,Republican,,Ulysses S. Grant,,,United States
2,Department of the Treasury,Secretary of the Treasury,29,William Adams Richardson,Republican,,Ulysses S. Grant,,,United States
2,Department of the Treasury,Secretary of the Treasury,30,Benjamin Bristow,Republican,,Ulysses S. Grant,,,United States
2,Department of the Treasury,Secretary of the Treasury,31,Lot M. Morrill,Republican,,Ulysses S. Grant,,,United States
2,Department of the Treasury,Secretary of the Treasury,32,John Sherman,Republican,,Rutherford B. Hayes,,,United States
2,Department of the Treasury,Secretary of the Treasury,33,William Windom,Republican,,James A. Garfield,,,United States
2,Department of the Treasury,Secretary of the Treasury,34,Charles J. Folger,Republican,,Chester A. Arthur,,,United States
2,Department of the Treasury,Secretary of the Treasury,35,Walter Q. Gresham,Republican,,Chester A. Arthur,,,United States
2,Department of the Treasury,Secretary of the Treasury,36,Hugh McCulloch,Republican,,Chester A. Arthur,,,United States
2,Department of the Treasury,Secretary of the Treasury,37,Daniel Manning,Democratic,,Grover Cleveland,,,United States
2,Department of the Treasury,Secretary of the Treasury,38,Charles S. Fairchild,Democratic,,Grover Cleveland,,,United States
2,Department of the Treasury,Secretary of the Treasury,39,William Windom,Republican,,Benjamin Harrison,,,United States
2,Department of the Treasury,Secretary of the Treasury,40,Charles Foster,Republican,,Benjamin Harrison,,,United States
2,Department of the Treasury,Secretary of the Treasury,41,John G. Carlisle,Democratic,,Grover Cleveland,,,United States
2,Department of the Treasury,Secretary of the Treasury,42,Lyman J. Gage,Republican,,William McKinley,,,United States
2,Department of the Treasury,Secretary of the Treasury,43,L. M. Shaw,Republican,,Theodore Roosevelt,,,United States
2,Department of the Treasury,Secretary of the Treasury,44,George B. Cortelyou,Republican,,Theodore Roosevelt,,,United States
2,Department of the Treasury,Secretary of the Treasury,45,Franklin MacVeagh,Republican,,William Howard Taft,,,United States
2,Department of the Treasury,Secretary of the Treasury,46,William Gibbs McAdoo,Democratic,,Woodrow Wilson,,,United States
2,Department of the Treasury,Secretary of the Treasury,47,Carter Glass,Democratic,,Woodrow Wilson,,,United States
2,Department of the Treasury,Secretary of the Treasury,48,David F. Houston,Democratic,,Woodrow Wilson,,,United States
2,Department of the Treasury,Secretary of the Treasury,49,Andrew Mellon,Republican,,Warren G. Harding,,,United States
2,Department of the Treasury,Secretary of the Treasury,50,Ogden L. Mills,Republican,,Herbert Hoover,,,United States
2,Department of the Treasury,Secretary of the Treasury,51,William H. Woodin,Republican,,Franklin D. Roosevelt,,,United States
2,Department of the Treasury,Secretary of the Treasury,52,Henry Morgenthau Jr.,Democratic,,Franklin D. Roosevelt,,,United States
2,Department of the Treasury,Secretary of the Treasury,53,Fred M. Vinson,Democratic,,Harry S. Truman,,,United States
2,Department of the Treasury,Secretary of the Treasury,54,John Wesley Snyder,Democratic,,Harry S. Truman,,,United States
2,Department of the Treasury,Secretary of the Treasury,55,George M. Humphrey,Republican,,Dwight D. Eisenhower,,,United States
2,Department of the Treasury,Secretary of the Treasury,56,Robert B. Anderson,Republican,,Dwight D. Eisenhower,,,United States
2,Department of the Treasury,Secretary of the Treasury,57,C. Douglas Dillon,Republican,,John F. Kennedy,,,United States
2,Department of the Treasury,Secretary of the Treasury,58,Henry H. Fowler,Democratic,,Lyndon B. Johnson,,,United States
2,Department of the Treasury,Secretary of the Treasury,59,Joseph W. Barr,Democratic,,Lyndon B. Johnson,,,United States
2,Department of the Treasury,Secretary of the Treasury,60,David M. Kennedy,Republican,,Richard Nixon,,,United States
2,Department of the Treasury,Secretary of the Treasury,61,John Connally,Democratic,,Richard Nixon,,,United States
2,Department of the Treasury,Secretary of the Treasury,62,George Shultz,Republican,,Richard Nixon,,,United States
2,Department of the Treasury,Secretary of the Treasury,63,William E. Simon,Republican,,Gerald Ford,,,United States
2,Department of the Treasury,Secretary of the Treasury,64,W. Michael Blumenthal,Democratic,,Jimmy Carter,,,Germany
2,Department of the Treasury,Secretary of the Treasury,65,G. William Miller,Democratic,,Jimmy Carter,,,United States
2,Department of the Treasury,Secretary of the Treasury,66,Donald Regan,Republican,,Ronald Reagan,,,United States
2,Department of the Treasury,Secretary of the Treasury,67,James Baker,Republican,,Ronald Reagan,,,United States
2,Department of the Treasury,Secretary of the Treasury,68,Nicholas F. Brady,Republican,,George H. W. Bush,,,United States
2,Department of the Treasury,Secretary of the Treasury,69,Lloyd Bentsen,Democratic,,Bill Clinton,,,United States
2,Department of the Treasury,Secretary of the Treasury,70,Robert Rubin,Democratic,,Bill Clinton,,,United States
2,Department of the Treasury,Secretary of the Treasury,71,Lawrence Summers,Democratic,,Bill Clinton,,,United States
2,Department of the Treasury,Secretary of the Treasury,72,Paul H. O'Neill,Republican,,George W. Bush,,,United States
2,Department of the Treasury,Secretary of the Treasury,73,John W. Snow,Republican,,George W. Bush,,,United States
2,Department of the Treasury,Secretary of the Treasury,74,Henry Paulson,Republican,,George W. Bush,,,United States
2,Department of the Treasury,Secretary of the Treasury,75,Timothy Geithner,Independent,,Barack Obama,,,United States
2,Department of the Treasury,Secretary of the Treasury,76,Jack Lew,Democratic,,Barack Obama,,,United States
2,Department of the Treasury,Secretary of the Treasury,77,Steven Mnuchin,Republican,,Donald Trump,,,United States
2,Department of the Treasury,Secretary of the Treasury,78,Janet Yellen,Democratic,,Joe Biden,,,United States
3,Department of Defense,Secretary of Defense,1,James Forrestal,Democratic,,Harry S Truman,,,United States
3,Department of Defense,Secretary of Defense,2,Louis A. Johnson,Democratic,,Harry S Truman,,,United States
3,Department of Defense,Secretary of Defense,3,George C. Marshall,Independent,,Harry S Truman,,,United States
3,Department of Defense,Secretary of Defense,4,Robert A. Lovett,Republican,,Harry S Truman,,,United States
3,Department of Defense,Secretary of Defense,5,Charles Erwin Wilson,Republican,,Dwight D. Eisenhower,,,United States
3,Department of Defense,Secretary of Defense,6,Neil H. McElroy,Republican,,Dwight D. Eisenhower,,,United States
3,Department of Defense,Secretary of Defense,7,Thomas S. Gates Jr.,Republican,,Dwight D. Eisenhower,,,United States
3,Department of Defense,Secretary of Defense,8,Robert McNamara,Republican,,John F. Kennedy,,,United States
3,Department of Defense,Secretary of Defense,9,Clark Clifford,Democratic,,Lyndon B. Johnson,,,United States
3,Department of Defense,Secretary of Defense,10,Melvin R. Laird,Republican,,Richard Nixon,,,United States
3,Department of Defense,Secretary of Defense,11,Elliot Richardson,Republican,,Richard Nixon,,,United States
3,Department of Defense,Secretary of Defense,12,James R. Schlesinger,Republican,,Richard Nixon,,,United States
3,Department of Defense,Secretary of Defense,13,Donald Rumsfeld,Republican,,Gerald Ford,,,United States
3,Department of Defense,Secretary of Defense,14,Harold Brown,Independent,,Jimmy Carter,,,United States
3,Department of Defense,Secretary of Defense,15,Caspar Weinberger,Republican,,Ronald Reagan,,,United States
3,Department of Defense,Secretary of Defense,16,Frank Carlucci,Republican,,Ronald Reagan,,,United States
3,Department of Defense,Secretary of Defense,17,Dick Cheney,Republican,,George H. W. Bush,,,United States
3,Department of Defense,Secretary of Defense,18,Leslie Aspin,Democratic,,Bill Clinton,,,United States
3,Department of Defense,Secretary of Defense,19,William Perry,Democratic,,Bill Clinton,,,United States
3,Department of Defense,Secretary of Defense,20,William Cohen,Republican,,Bill Clinton,,,United States
3,Department of Defense,Secretary of Defense,21,Donald Rumsfeld,Republican,,George W. Bush,,,United States
3,Department of Defense,Secretary of Defense,22,Robert Gates,Republican,,George W. Bush,,,United States
3,Department of Defense,Secretary of Defense,23,Leon Panetta,Democratic,,Barack Obama,,,United States
3,Department of Defense,Secretary of Defense,24,Chuck Hagel,Republican,,Barack Obama,,,United States
3,Department of Defense,Secretary of Defense,25,Ash Carter,Democratic,,Barack Obama,,,United States
3,Department of Defense,Secretary of Defense,26,Jim Mattis,Independent,,Donald Trump,,,United States
3,Department of Defense,Secretary of Defense,27,Mark Esper,Republican,,Donald Trump,,,United States
3,Department of Defense,Secretary of Defense,28,Lloyd Austin,Independent,,Joe Biden,,,United States
4,Department of Justice,Attorney General,1,Edmund Randolph,,,George Washington,,,United States
4,Department of Justice,Attorney General,2,William Bradford,,,George Washington,,,United States
4,Department of Justice,Attorney General,3,Charles Lee,,,George Washington,,,United States
4,Department of Justice,Attorney General,4,Levi Lincoln Sr.,,,Thomas Jefferson,,,United States
4,Department of Justice,Attorney General,5,John Breckinridge,,,Thomas Jefferson,,,United States
4,Department of Justice,Attorney General,6,Caesar Augustus Rodney,,,Thomas Jefferson,,,United States
4,Department of Justice,Attorney General,7,William Pinkney,,,James Madison,,,United States
4,Department of Justice,Attorney General,8,Richard Rush,,,James Madison,,,United States
4,Department of Justice,Attorney General,9,William Wirt,,,James Monroe,,,United States
4,Department of Justice,Attorney General,10,John Macpherson Berrien,,,Andrew Jackson,,,United States
4,Department of Justice,Attorney General,11,Roger B. Taney,,,Andrew Jackson,,,United States
4,Department of Justice,Attorney General,12,Benjamin Franklin Butler,,,Andrew Jackson,,,United States
4,Department of Justice,Attorney General,13,Felix Grundy,,,Martin Van Buren,,,United States
4,Department of Justice,Attorney General,14,Henry D. Gilpin,,,Martin Van Buren,,,United States
4,Department of Justice,Attorney General,15,John J. Crittenden,,,William Henry Harrison,,,United States
4,Department of Justice,Attorney General,16,Hugh S. Legaré,,,John Tyler,,,United States
4,Department of Justice,Attorney General,17,John Nelson,,,John Tyler,,,United States
4,Department of Justice,Attorney General,18,John Y. Mason,,,James K. Polk,,,United States
4,Department of Justice,Attorney General,19,Nathan Clifford,,,James K. Polk,,,United States
4,Department of Justice,Attorney General,20,Isaac Toucey,,,James K. Polk,,,United States
4,Department of Justice,Attorney General,21,Reverdy Johnson ,,,Zachary Taylor ,,,United States
4,Department of Justice,Attorney General,22,John J. Crittenden,,,Millard Fillmore ,,,United States
4,Department of Justice,Attorney General,23,Caleb Cushing ,,,Franklin Pierce ,,,United States
4,Department of Justice,Attorney General,24,Jeremiah S. Black ,,,James Buchanan ,,,United States
4,Department of Justice,Attorney General,25,Edwin Stanton ,,,James Buchanan ,,,United States
4,Department of Justice,Attorney General,26,Edward Bates ,,,Abraham Lincoln ,,,United States
4,Department of Justice,Attorney General,27,James Speed,,,Abraham Lincoln ,,,United States
4,Department of Justice,Attorney General,28,Henry Stanbery ,,,Andrew Johnson ,,,United States
4,Department of Justice,Attorney General,29,William M. Evarts ,,,Andrew Johnson ,,,United States
