sport,name,moniker,city,state,division,conference,country,venue,competition,active
basketball,Los Angeles Clippers,,Los Angeles,California,Pacific,Western,United States,Crypto.com Arena,NBA,
basketball,Los Angeles Lakers,,Los Angeles,California,Pacific,Western,United States,Crypto.com Arena,NBA,
basketball,Phoenix Suns,,Phoenix,Arizona,Pacific,Western,United States,Footprint Center,NBA,
basketball,Sacramento Kings,,Sacramento,California,Pacific,Western,United States,Golden 1 Center,NBA,
basketball,Dallas Mavericks,,Dallas,Texas,Southwest,Western,United States,American Airlines Center,NBA,
basketball,Houston Rockets,,Houston,Texas,Southwest,Western,United States,Toyota Center,NBA,
basketball,Memphis Grizzlies,,Memphis,Tennessee,Southwest,Western,United States,FedExForum,NBA,
basketball,New Orleans Pelicans,,New Orleans,Louisiana,Southwest,Western,United States,Smoothie King Center,NBA,
basketball,San Antonio Spurs,,San Antonio,Texas,Southwest,Western,United States,AT&T Center,NBA,
basketball,Cần Thơ Catfish,,Cần Thơ,Cần Thơ,,,Vietnam,,VBA,
basketball,Đà Nẵng Dragon,,Đà Nẵng,Đà Nẵng,,,Vietnam,,VBA,
basketball,Hà Nội Buffaloes,,Hà Nội,Hà Nội,,,Vietnam,,VBA,
basketball,Hồ Chí Minh City Wings,,Hồ Chí Minh,Hồ Chí Minh,,,Vietnam,,VBA,
basketball,Sài Gòn Heats,,Hồ Chí Minh,Hồ Chí Minh,,,Vietnam,,VBA,
basketball,Thăng Long Warriors,,Hà Nội,Hà Nội,,,Vietnam,,VBA,
footy,Sydney,Swans,,New South Wales,,,Australia,Sydney Cricket Ground,,True
footy,Greater Western Sydney,Giants,,New South Wales,,,Australia,Sydney Showground Stadium,,True
footy,Brisbane Bears,Bears,,Queensland,,,Australia,Carrara Stadium,,False
footy,Gold Coast,Suns,,Queensland,,,Australia,Carrara Stadium,,True
footy,Brisbane Lions,Lions,,Queensland,,,Australia,The Gabba,,True
footy,Adelaide,Crows,,South Australia,,,Australia,Adelaide Oval,,True
footy,Port Adelaide,Power,,South Australia,,,Australia,Adelaide Oval,,True
footy,Fitzroy,Lions,,Victoria,,,Australia,Brunswick Street Oval,,False
footy,Carlton,Blues,,Victoria,,,Australia,Docklands Stadium,,True
footy,Essendon,Bombers,,Victoria,,,Australia,Docklands Stadium,,True
footy,North Melbourne,Kangaroos,,Victoria,,,Australia,Docklands Stadium,,True
footy,St Kilda,Saints,,Victoria,,,Australia,Docklands Stadium,,True
footy,Western Bulldogs,Bulldogs,,Victoria,,,Australia,Docklands Stadium,,True
footy,Geelong,Cats,,Victoria,,,Australia,Kardinia Park,,True
footy,Collingwood,Magpies,,Victoria,,,Australia,Melbourne Cricket Ground,,True
footy,Hawthorn,Hawks,,Victoria,,,Australia,Melbourne Cricket Ground,,True
footy,Melbourne,Demons,,Victoria,,,Australia,Melbourne Cricket Ground,,True
footy,Richmond,Tigers,,Victoria,,,Australia,Melbourne Cricket Ground,,True
footy,University,Students,,Victoria,,,Australia,Melbourne Cricket Ground,,False
footy,Fremantle,Dockers,,Western Australia,,,Australia,Perth Stadium,,True
footy,West Coast,Eagles,,Western Australia,,,Australia,Perth Stadium,,True
futsal,Cao Bằng FC,,Cao Bằng,,,,Vietnam,,,
futsal,Kardiachain Sài Gòn FC,,Hồ Chí Minh,,,,Vietnam,,,
futsal,Quảng Nam FC,,Quảng Nam,,,,Vietnam,,,
futsal,Sahako FC,,Hồ Chí Minh,,,,Vietnam,,,
futsal,Sanna Khánh Hòa,,Khánh Hoà,,,,Vietnam,,,
futsal,Sanvinest Sanatech Khánh Hòa,,Khánh Hoà,,,,Vietnam,,,
futsal,Thái Sơn Bắc,,Hà Nội,,,,Vietnam,,,
futsal,Thái Sơn Nam,,Hồ Chí Minh,,,,Vietnam,,,
futsal,Tân Hiệp Hưng,,Hồ Chí Minh,,,,Vietnam,,,
futsal,VietFootball FC,,Hà Nội,,,,Vietnam,,,
futsal,Đà Nẵng FC,,Đà Nẵng,,,,Vietnam,,,
futsal,Hưng Gia Khang Đắk Lắk FC,,Đắk Lắk,,,,Vietnam,,,
