number,name,party,state,district
75,William B. Bankhead,Democratic,Alabama,7
76,William B. Bankhead,Democratic,Alabama,7
76,Sam Rayburn,Democratic,Texas,4
77,Sam Rayburn,Democratic,Texas,4
78,Sam Rayburn,Democratic,Texas,4
79,Sam Rayburn,Democratic,Texas,4
80,Joseph W. Martin Jr.,Republican,Massachusetts,14
81,Sam Rayburn,Democratic,Texas,4
82,Sam Rayburn,Democratic,Texas,4
83,Joseph W. Martin Jr.,Republican,Massachusetts,14
84,Sam Rayburn,Democratic,Texas,4
85,Sam Rayburn,Democratic,Texas,4
86,Sam Rayburn,Democratic,Texas,4
87,Sam Rayburn,Democratic,Texas,4
87,John W. McCormack,Democratic,Massachusetts,12
88,John W. McCormack,Democratic,Massachusetts,9
89,John W. McCormack,Democratic,Massachusetts,9
90,John W. McCormack,Democratic,Massachusetts,9
91,John W. McCormack,Democratic,Massachusetts,9
92,Carl Albert,Democratic,Oklahoma,3
93,Carl Albert,Democratic,Oklahoma,3
94,Carl Albert,Democratic,Oklahoma,3
95,Tip O'Neill,Democratic,Massachusetts,8
96,Tip O'Neill,Democratic,Massachusetts,8
97,Tip O'Neill,Democratic,Massachusetts,8
98,Tip O'Neill,Democratic,Massachusetts,8
99,Tip O'Neill,Democratic,Massachusetts,8
100,Jim Wright,Democratic,Texas,12
101,Jim Wright,Democratic,Texas,12
101,Tom Foley,Democratic,Washington,5
102,Tom Foley,Democratic,Washington,5
103,Tom Foley,Democratic,Washington,5
104,Newt Gingrich,Republican,Georgia,6
105,Newt Gingrich,Republican,Georgia,6
106,Dennis Hastert,Republican,Illinois,14
107,Dennis Hastert,Republican,Illinois,14
108,Dennis Hastert,Republican,Illinois,14
109,Dennis Hastert,Republican,Illinois,14
110,Nancy Pelosi,Democratic,California,8
111,Nancy Pelosi,Democratic,California,8
112,John Boehner,Republican,Ohio,8
113,John Boehner,Republican,Ohio,8
114,John Boehner,Republican,Ohio,8
114,Paul Ryan,Republican,Wisconsin,1
115,Paul Ryan,Republican,Wisconsin,1
116,Nancy Pelosi,Democratic,California,12
117,Nancy Pelosi,Democratic,California,12
118,Kevin McCarthy,Republican,California,20
