no,position,name,full_name,party,president,president_party,start_date,end_date,birth_state,affiliated_state,impeached
35,attorney,,,,,,,,,,
36,attorney,,,,,,,,,,
37,attorney,,,,,,,,,,
38,attorney,,,,,,,,,,
39,attorney,,,,,,,,,,
40,attorney,,,,,,,,,,
41,attorney,,,,,,,,,,
42,attorney,,,,,,,,,,
43,attorney,,,,,,,,,,
44,attorney,,,,,,,,,,
45,attorney,,,,,,,,,,
46,attorney,,,,,,,,,,
47,attorney,,,,,,,,,,
48,attorney,,,,,,,,,,
49,attorney,,,,,,,,,,
50,attorney,,,,,,,,,,
51,attorney,,,,,,,,,,
52,attorney,,,,,,,,,,
53,attorney,,,,,,,,,,
54,attorney,,,,,,,,,,
55,attorney,,,,,,,,,,
56,attorney,,,,,,,,,,
57,attorney,,,,,,,,,,
58,attorney,,,,,,,,,,
59,attorney,,,,,,,,,,
60,attorney,,,,,,,,,,
61,attorney,,,,,,,,,,
62,attorney,,,,,,,,,,
63,attorney,,,,,,,,,,
64,attorney,,,,,,,,,,
65,attorney,,,,,,,,,,
66,attorney,,,,,,,,,,
67,attorney,,,,,,,,,,
68,attorney,,,,,,,,,,
69,attorney,,,,,,,,,,
70,attorney,,,,,,,,,,
71,attorney,,,,,,,,,,
72,attorney,,,,,,,,,,
73,attorney,,,,,,,,,,
74,attorney,,,,,,,,,,
75,attorney,,,,,,,,,,
76,attorney,,,,,,,,,,
77,attorney,,,,,,,,,,
78,attorney,,,,,,,,,,
79,attorney,,,,,,,,,,
80,attorney,,,,,,,,,,
81,attorney,,,,,,,,,,
82,attorney,,,,,,,,,,
83,attorney,,,,,,,,,,
84,attorney,,,,,,,,,,
85,attorney,,,,,,,,,,
86,attorney,,,,,,,,,,
1,president,George Washington,George Washington,Independent,,,1789-04-30,1797-03-04,Virginia,Virginia,
2,president,John Adams,John Adams,Federalist,,,,,Massachusetts,Massachusetts,
3,president,Thomas Jefferson,Thomas Jefferson,Democratic-Republican,,,,,Virginia,Virginia,
4,president,James Madison,James Madison,Democratic-Republican,,,,,Virginia,Virginia,
5,president,James Monroe,James Monroe,Democratic-Republican,,,,,Virginia,Virginia,
6,president,John Quincy Adams,John Quincy Adams,Democratic-Republican,,,,,Massachusetts,Massachusetts,
7,president,Andrew Jackson,Andrew Jackson,Democratic,,,,,South Carolina,Tennessee,
8,president,Martin Van Buren,Martin Van Buren,Democratic,,,,,New York,New York,
9,president,William Henry Harrison,William Henry Harrison,Whig,,,,,Virginia,Ohio,
10,president,John Tyler,John Tyler,Whig,,,,,Virginia,Virginia,
11,president,James K. Polk,James Knox Polk,Democratic,,,,,North Carolina,Tennessee,
12,president,Zachary Taylor,Zachary Taylor,Whig,,,,,Virginia,Kentucky,
13,president,Millard Fillmore,Millard Fillmore,Whig,,,,,New York,New York,
14,president,Franklin Pierce,Franklin Pierce,Democratic,,,,,New Hampshire,New Hampshire,
15,president,James Buchanan,James Buchanan Jr.,Democratic,,,,,Pennsylvania,Pennsylvania,
16,president,Abraham Lincoln,Abraham Lincoln,Republican,,,,,Kentucky,Illinois,
17,president,Andrew Johnson,Andrew Johnson,Democratic,,,,,North Carolina,Tennessee,true
18,president,Ulysses S. Grant,Hiram Ulysses Grant,Republican,,,,,Ohio,Illinois,
19,president,Rutherford B. Hayes,Rutherford Birchard Hayes,Republican,,,,,Ohio,Ohio,
20,president,James A. Garfield,James Abram Garfield,Republican,,,,,Ohio,Ohio,
21,president,Chester A. Arthur,Chester Alan Arthur,Republican,,,,,Vermont,New York,
22,president,Grover Cleveland,Stephen Grover Cleveland,Democratic,,,,,New Jersey,New York,
23,president,Benjamin Harrison,Benjamin Harrison,Republican,,,,,Ohio,Indiana,
24,president,Grover Cleveland,Stephen Grover Cleveland,Democratic,,,,,New Jersey,New York,
25,president,William McKinley,William McKinley,Republican,,,,,Ohio,Ohio,
26,president,Theodore Roosevelt,Theodore Roosevelt Jr.,Republican,,,,,New York,New York,
27,president,William Howard Taft,William Howard Taft,Republican,,,,,Ohio,Ohio,
28,president,Woodrow Wilson,Thomas Woodrow Wilson,Democratic,,,,,Virginia,New Jersey,
29,president,Warren G. Harding,Warren Gamaliel Harding,Republican,,,,,Ohio,Ohio,
30,president,Calvin Coolidge,Calvin Coolidge,Republican,,,,,Vermont,Massachusetts,
31,president,Herbert Hoover,Herbert Clark Hoover,Republican,,,,,Iowa,California,
32,president,Franklin D. Roosevelt,Franklin Delano Roosevelt,Democratic,,,,,New York,New York,
33,president,Harry S Truman,Harry S Truman,Democratic,,,,,Missouri,Missouri,
34,president,Dwight D. Eisenhower,Dwight David Eisenhower,Republican,,,,,Texas,Kansas,
35,president,John F. Kennedy,John Fitzgerald Kennedy,Democratic,,,,,Massachusetts,Massachusetts,
36,president,Lyndon B. Johnson,Lyndon Baines Johnson,Democratic,,,,,Texas,Texas,
37,president,Richard Nixon,Richard Milhous Nixon,Republican,,,,,California,California,
38,president,Gerald Ford,Gerald Rudolph Ford Jr.,Republican,,,,,Nebraska,Michigan,
39,president,Jimmy Carter,James Earl Carter Jr.,Democratic,,,,,Georgia,Georgia,
40,president,Ronald Reagan,Ronald Wilson Reagan,Republican,,,,,Illinois,California,
41,president,George H. W. Bush,"George Herbert Walker Bush ",Republican,,,,,Massachusetts,Texas,
42,president,Bill Clinton,William Jefferson Clinton,Democratic,,,,,Arkansas,Arkansas,true
43,president,George W. Bush,George Walker Bush,Republican,,,,,Connecticut,Texas,
44,president,Barack Obama,Barack Hussein Obama II,Democratic,,,,,Hawaii,Illinois,
45,president,Donald Trump,Donald John Trump,Republican,,,,,New York,New York,true
46,president,Joe Biden,Joseph Robinette Biden Jr.,Democratic,,,,,Pennsylvania,Delaware,
