state,no,name,party
Arizona,23,Doug Ducey,
Arizona,24,Katie Hobbs,
Utah,1,Heber Manning Wells,
Utah,2,John Christopher Cutler,
Utah,3,William Spry,
Utah,4,Simon Bamberger,
Utah,5,Charles R. Mabey,
Utah,6,George Dern,
Utah,7,Henry H. Blood,
Utah,8,Herbert B. Maw,
Utah,9,J. Bracken Lee,
Utah,10,George Dewey Clyde,
Utah,11,Cal Rampton,
Utah,12,Scott M. Matheson,
Utah,13,Norman H. Bangerter,
Utah,14,Mike Leavitt,
Utah,15,Olene Walker,
Utah,16,Jon Huntsman Jr.,
Utah,17,Gary Herbert,
Utah,18,Spencer Cox,
Washington,1,Elisha P. Ferry,
Washington,2,John McGraw,
Washington,3,John Rankin Rogers,
Washington,4,Henry McBride,
Washington,5,Albert E. Mead,
Washington,6,Samuel G. Cosgrove,
Washington,7,Marion E. Hay,
Washington,8,Ernest Lister,
Washington,9,Louis F. Hart,
Washington,10,Roland H. Hartley,
Washington,11,Clarence D. Martin,
Washington,12,Arthur B. Langlie,
Washington,13,Monrad Wallgren,
Washington,14,Arthur B. Langlie,
Washington,15,Albert Rosellini,
Washington,16,Daniel J. Evans,
Washington,17,Dixy Lee Ray,
Washington,18,John Spellman,
Washington,19,Booth Gardner,
Washington,20,Mike Lowry,
Washington,21,Gary Locke,
Washington,22,Christine Gregoire,
Washington,23,Jay Inslee,
New Mexico,1,William C. McDonald,
New Mexico,2,Ezequiel Cabeza De Baca,
New Mexico,3,Washington Ellsworth Lindsey,
New Mexico,4,Octaviano Ambrosio Larrazolo,
New Mexico,5,Merritt C. Mechem,
New Mexico,6,James F. Hinkle,
New Mexico,7,Arthur T. Hannett,
New Mexico,8,Richard C. Dillon,
New Mexico,9,Arthur Seligman,
New Mexico,10,Andrew W. Hockenhull,
New Mexico,11,Clyde Tingley,
New Mexico,12,John E. Miles,
New Mexico,13,John J. Dempsey,
New Mexico,14,Thomas J. Mabry,
New Mexico,15,Edwin L. Mechem,
New Mexico,16,John F. Simms,
New Mexico,17,Edwin L. Mechem,
New Mexico,18,John Burroughs,
New Mexico,19,Edwin L. Mechem,
New Mexico,20,Tom Bolack,
New Mexico,21,Jack M. Campbell,
New Mexico,22,David Cargo,
New Mexico,23,Bruce King,
New Mexico,24,Jerry Apodaca,
New Mexico,25,Bruce King,
New Mexico,26,Toney Anaya,
New Mexico,27,Garrey Carruthers,
New Mexico,28,Bruce King,
New Mexico,29,Gary Johnson,
New Mexico,30,Bill Richardson,
New Mexico,31,Susana Martinez,
New Mexico,32,Michelle Lujan Grisham,
Oklahoma,1,Charles N. Haskell,
Oklahoma,2,Lee Cruce,
Oklahoma,3,Robert L. Williams,
Oklahoma,4,James B. A. Robertson,
Oklahoma,5,Jack C. Walton,
Oklahoma,6,Martin E. Trapp,
Oklahoma,7,Henry S. Johnston,
Oklahoma,8,William J. Holloway,
Oklahoma,9,William H. Murray,
Oklahoma,10,E. W. Marland,
Oklahoma,11,Leon C. Phillips,
Oklahoma,12,Robert S. Kerr,
Oklahoma,13,Roy J. Turner,
Oklahoma,14,Johnston Murray,
Oklahoma,15,Raymond D. Gary,
Oklahoma,16,J. Howard Edmondson,
Oklahoma,17,George Nigh,
Oklahoma,18,Henry Bellmon,
Oklahoma,19,Dewey F. Bartlett,
Oklahoma,20,David Hall,
Oklahoma,21,David Boren,
Oklahoma,22,George Nigh,
Oklahoma,23,Henry Bellmon,
Oklahoma,24,David Walters,
Oklahoma,25,Frank Keating,
Oklahoma,26,Brad Henry,
Oklahoma,27,Mary Fallin,
Oklahoma,28,Kevin Stitt,
