id,area,name,code,type,emblem,plan,currentSeason,numberOfAvailableSeasons,lastUpdated
2022,"{'id': 2016, 'name': 'Austria', 'code': 'AUT', 'flag': 'https://crests.football-data.org/816.svg'}",Playoffs 1/2,APL,PLAYOFFS,,TIER_TWO,"{'id': 24, 'startDate': '2018-05-31', 'endDate': '2018-06-03', 'currentMatchday': None, 'winner': {'id': 2022, 'name': 'spusu SKN St. Pölten', 'shortName': 'St. Pölten', 'tla': 'STP', 'crest': 'https://crests.football-data.org/2022.png', 'address': 'Bimbo Binder Promenade 9 Sankt Pölten 3100', 'website': 'http://www.skn-stpoelten.at', 'founded': 2000, 'clubColors': 'Yellow / Blue', 'venue': 'NV Arena', 'lastUpdated': '2023-08-23T08:41:01Z'}}",1,2018-08-23T15:47:33Z
2027,"{'id': 2016, 'name': 'Austria', 'code': 'AUT', 'flag': 'https://crests.football-data.org/816.svg'}",ÖFB Cup,,CUP,,TIER_FOUR,"{'id': 627, 'startDate': '2020-08-28', 'endDate': '2021-05-01', 'currentMatchday': None, 'winner': None}",4,2021-03-04T16:50:00Z
2028,"{'id': 2023, 'name': 'Belgium', 'code': 'BEL', 'flag': 'https://crests.football-data.org/805.svg'}",Coupe de Belgique,,CUP,,TIER_FOUR,"{'id': 654, 'startDate': '2020-08-23', 'endDate': '2021-05-31', 'currentMatchday': None, 'winner': None}",4,2021-04-17T11:26:48Z
2033,"{'id': 2023, 'name': 'Belgium', 'code': 'BEL', 'flag': 'https://crests.football-data.org/805.svg'}",Division 1B,,LEAGUE,,TIER_FOUR,"{'id': 610, 'startDate': '2020-08-21', 'endDate': '2021-05-31', 'currentMatchday': 28, 'winner': None}",4,2021-04-17T11:26:53Z
2009,"{'id': 2023, 'name': 'Belgium', 'code': 'BEL', 'flag': 'https://crests.football-data.org/805.svg'}",Jupiler Pro League,BJL,LEAGUE,,TIER_TWO,"{'id': 1586, 'startDate': '2023-07-28', 'endDate': '2024-03-16', 'currentMatchday': 12, 'winner': None}",7,2021-04-17T00:00:14Z
2032,"{'id': 2023, 'name': 'Belgium', 'code': 'BEL', 'flag': 'https://crests.football-data.org/805.svg'}",Playoffs,BJPP,PLAYOFFS,,TIER_FOUR,"{'id': 1565, 'startDate': '2023-04-28', 'endDate': '2023-06-03', 'currentMatchday': None, 'winner': None}",3,2022-05-19T20:17:51Z
2010,"{'id': 2023, 'name': 'Belgium', 'code': 'BEL', 'flag': 'https://crests.football-data.org/805.svg'}",Supercoupe de Belgique,,SUPER_CUP,,TIER_FOUR,"{'id': 536, 'startDate': '2019-07-20', 'endDate': '2019-07-20', 'currentMatchday': None, 'winner': None}",3,2019-07-21T23:00:07Z
2034,"{'id': 2028, 'name': 'Bolivia', 'code': 'BOL', 'flag': None}",LFPB,,LEAGUE,,TIER_FOUR,"{'id': 718, 'startDate': '2021-03-09', 'endDate': '2022-01-01', 'currentMatchday': 30, 'winner': None}",4,2021-04-17T00:00:14Z
2035,"{'id': 2030, 'name': 'Bosnia and Herzegovina', 'code': 'BIH', 'flag': 'https://crests.football-data.org/bosnia.svg'}",Premier Liga,,LEAGUE,,TIER_FOUR,"{'id': 598, 'startDate': '2020-08-01', 'endDate': '2021-05-30', 'currentMatchday': 30, 'winner': None}",4,2021-04-17T00:00:15Z
2037,"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}",Copa do Brasil,CDB,CUP,,TIER_FOUR,"{'id': 1569, 'startDate': '2023-02-21', 'endDate': '2023-08-17', 'currentMatchday': 2, 'winner': None}",5,2023-06-09T16:01:52Z
2038,"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}",Série D,,LEAGUE,,TIER_FOUR,"{'id': 595, 'startDate': '2020-05-17', 'endDate': '2020-11-22', 'currentMatchday': 13, 'winner': None}",3,2021-04-17T11:26:37Z
2036,"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}",Série C,,LEAGUE,,TIER_FOUR,"{'id': 594, 'startDate': '2020-05-02', 'endDate': '2020-10-31', 'currentMatchday': 13, 'winner': None}",3,2021-04-17T11:26:43Z
2029,"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}",Campeonato Brasileiro Série B,BSB,LEAGUE,,TIER_THREE,"{'id': 1556, 'startDate': '2023-04-15', 'endDate': '2023-11-25', 'currentMatchday': 34, 'winner': None}",6,2021-05-28T09:35:43Z
2013,"{'id': 2032, 'name': 'Brazil', 'code': 'BRA', 'flag': 'https://crests.football-data.org/764.svg'}",Campeonato Brasileiro Série A,BSA,LEAGUE,https://crests.football-data.org/764.svg,TIER_ONE,"{'id': 1557, 'startDate': '2023-04-15', 'endDate': '2023-12-03', 'currentMatchday': 29, 'winner': None}",7,2021-07-20T18:42:17Z
2039,"{'id': 2035, 'name': 'Bulgaria', 'code': 'BGR', 'flag': 'https://crests.football-data.org/817.svg'}",Kupa na Bulgarija,,CUP,,TIER_FOUR,"{'id': 639, 'startDate': '2020-09-08', 'endDate': '2021-05-30', 'currentMatchday': None, 'winner': None}",4,2021-04-17T11:26:33Z
2040,"{'id': 2035, 'name': 'Bulgaria', 'code': 'BGR', 'flag': 'https://crests.football-data.org/817.svg'}",A PFG,,LEAGUE,,TIER_FOUR,"{'id': 611, 'startDate': '2020-08-08', 'endDate': '2021-05-30', 'currentMatchday': 26, 'winner': None}",4,2021-04-26T10:22:24Z
2041,"{'id': 2040, 'name': 'Canada', 'code': 'CAN', 'flag': None}",Canadian Championship,,LEAGUE,,TIER_FOUR,"{'id': 558, 'startDate': '2020-06-16', 'endDate': '2020-09-24', 'currentMatchday': None, 'winner': None}",3,2021-04-17T11:26:28Z
2043,"{'id': 2045, 'name': 'Chile', 'code': 'CHL', 'flag': None}",Supercopa de Chile,,SUPER_CUP,,TIER_FOUR,"{'id': 435, 'startDate': '2019-03-23', 'endDate': '2019-03-23', 'currentMatchday': None, 'winner': None}",3,2019-03-24T20:10:07Z
2048,"{'id': 2045, 'name': 'Chile', 'code': 'CHL', 'flag': None}",Primera División,CPD,LEAGUE,,TIER_THREE,"{'id': 1543, 'startDate': '2023-01-22', 'endDate': '2023-12-10', 'currentMatchday': 27, 'winner': None}",7,2021-02-18T02:45:00Z
2042,"{'id': 2045, 'name': 'Chile', 'code': 'CHL', 'flag': None}",Playoffs 1/2,,PLAYOFFS,,TIER_FOUR,"{'id': 44, 'startDate': '2017-11-25', 'endDate': '2017-12-21', 'currentMatchday': None, 'winner': None}",1,2018-06-05T00:01:23Z
2044,"{'id': 2046, 'name': 'China PR', 'code': 'CHN', 'flag': None}",Chinese Super League,CSL,LEAGUE,,TIER_FOUR,"{'id': 1562, 'startDate': '2023-04-15', 'endDate': '2023-11-04', 'currentMatchday': 29, 'winner': None}",6,2021-05-04T18:20:22Z
2045,"{'id': 2049, 'name': 'Colombia', 'code': 'COL', 'flag': None}",Liga Postobón,CLP,LEAGUE,,TIER_FOUR,"{'id': 1558, 'startDate': '2023-01-25', 'endDate': '2023-11-05', 'currentMatchday': 20, 'winner': None}",6,2022-02-08T09:48:11Z
2046,"{'id': 2049, 'name': 'Colombia', 'code': 'COL', 'flag': None}",Superliga de Colombia,,CUP,,TIER_FOUR,"{'id': 438, 'startDate': '2019-01-24', 'endDate': '2019-01-27', 'currentMatchday': None, 'winner': None}",2,2018-06-05T00:02:32Z
2047,"{'id': 2058, 'name': 'Croatia', 'code': 'HRV', 'flag': 'https://crests.football-data.org/799.svg'}",Prva Liga,PRVA,LEAGUE,,TIER_FOUR,"{'id': 621, 'startDate': '2020-08-15', 'endDate': '2021-05-30', 'currentMatchday': 36, 'winner': None}",4,2021-04-17T11:34:15Z
2049,"{'id': 2062, 'name': 'Czech Republic', 'code': 'CZE', 'flag': 'https://crests.football-data.org/798.svg'}",Synot Liga,,LEAGUE,,TIER_FOUR,"{'id': 612, 'startDate': '2020-08-22', 'endDate': '2021-05-30', 'currentMatchday': 34, 'winner': None}",4,2021-04-17T11:26:23Z
2051,"{'id': 2065, 'name': 'Denmark', 'code': 'DNK', 'flag': 'https://crests.football-data.org/782.svg'}",DBU Pokalen,,CUP,,TIER_FOUR,"{'id': 640, 'startDate': '2020-09-01', 'endDate': '2021-05-13', 'currentMatchday': None, 'winner': None}",4,2021-04-17T11:26:18Z
2050,"{'id': 2065, 'name': 'Denmark', 'code': 'DNK', 'flag': 'https://crests.football-data.org/782.svg'}",Superliga,DSU,LEAGUE,,TIER_THREE,"{'id': 1572, 'startDate': '2023-07-21', 'endDate': '2024-03-17', 'currentMatchday': 13, 'winner': None}",7,2021-04-17T00:00:17Z
2141,"{'id': 2065, 'name': 'Denmark', 'code': 'DNK', 'flag': 'https://crests.football-data.org/782.svg'}",Euro League - Playoff,DELP,PLAYOFFS,,TIER_FOUR,"{'id': 1386, 'startDate': '2020-07-11', 'endDate': '2020-07-29', 'currentMatchday': None, 'winner': None}",3,2022-04-22T10:03:12Z
2052,"{'id': 2069, 'name': 'Ecuador', 'code': 'ECU', 'flag': None}",Copa Pilsener Serie A,,LEAGUE,,TIER_FOUR,"{'id': 720, 'startDate': '2021-02-19', 'endDate': '2021-12-05', 'currentMatchday': 15, 'winner': None}",4,2021-04-17T11:26:13Z
2139,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",Football League Cup,FLC,CUP,https://crests.football-data.org/FLC.png,TIER_THREE,"{'id': 1584, 'startDate': '2023-08-08', 'endDate': '2024-05-25', 'currentMatchday': None, 'winner': None}",7,2022-03-20T10:14:47Z
2056,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",FA Community Shield,COM,SUPER_CUP,,TIER_FOUR,"{'id': 1571, 'startDate': '2023-08-06', 'endDate': '2023-08-06', 'currentMatchday': None, 'winner': None}",7,2021-10-24T18:00:44Z
2055,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",FA Cup,FAC,CUP,https://crests.football-data.org/FA_CUP.png,TIER_TWO,"{'id': 1574, 'startDate': '2023-11-01', 'endDate': '2024-05-25', 'currentMatchday': 3, 'winner': None}",7,2022-03-20T09:18:41Z
2053,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",National League,ENL,LEAGUE,,TIER_FOUR,"{'id': 1623, 'startDate': '2023-08-05', 'endDate': '2024-04-20', 'currentMatchday': 18, 'winner': None}",6,2023-07-04T11:49:30Z
2054,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",League Two,EL2,LEAGUE,,TIER_THREE,"{'id': 1576, 'startDate': '2023-08-05', 'endDate': '2024-04-27', 'currentMatchday': 16, 'winner': None}",7,2021-04-17T00:00:05Z
2030,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",League One,EL1,LEAGUE,,TIER_TWO,"{'id': 1575, 'startDate': '2023-08-05', 'endDate': '2024-04-27', 'currentMatchday': 15, 'winner': None}",15,2021-04-17T01:40:14Z
2016,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",Championship,ELC,LEAGUE,https://crests.football-data.org/ELC.png,TIER_ONE,"{'id': 1573, 'startDate': '2023-08-04', 'endDate': '2024-05-04', 'currentMatchday': 13, 'winner': None}",7,2022-03-20T09:31:30Z
2021,"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}",Premier League,PL,LEAGUE,https://crests.football-data.org/PL.png,TIER_ONE,"{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",125,2022-03-20T08:58:54Z
2057,"{'id': 2075, 'name': 'Estonia', 'code': 'EST', 'flag': 'https://crests.football-data.org/estonia.svg'}",Meistriliiga,,LEAGUE,,TIER_FOUR,"{'id': 686, 'startDate': '2021-03-05', 'endDate': '2021-11-06', 'currentMatchday': 36, 'winner': None}",4,2021-04-17T11:26:10Z
2146,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",UEFA Europa League,EL,CUP,https://crests.football-data.org/EL.png,TIER_TWO,"{'id': 1627, 'startDate': '2023-08-08', 'endDate': '2024-05-22', 'currentMatchday': 3, 'winner': None}",6,2022-03-20T09:23:04Z
2001,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",UEFA Champions League,CL,CUP,https://crests.football-data.org/CL.png,TIER_ONE,"{'id': 1630, 'startDate': '2023-09-19', 'endDate': '2024-06-01', 'currentMatchday': 3, 'winner': None}",44,2022-03-20T09:20:44Z
2154,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",UEFA Conference League,UCL,CUP,https://crests.football-data.org/UCL.png,TIER_FOUR,"{'id': 1624, 'startDate': '2023-07-12', 'endDate': '2024-05-29', 'currentMatchday': 6, 'winner': None}",3,2022-03-20T09:22:28Z
2018,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",European Championship,EC,CUP,https://crests.football-data.org/EUR.svg,TIER_ONE,"{'id': 1537, 'startDate': '2024-06-14', 'endDate': '2024-07-14', 'currentMatchday': 1, 'winner': None}",17,2021-07-20T18:34:04Z
2007,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",WC Qualification UEFA,QUFA,CUP,,TIER_FOUR,"{'id': 687, 'startDate': '2021-03-24', 'endDate': '2021-11-16', 'currentMatchday': 10, 'winner': None}",2,2021-11-11T10:38:13Z
2157,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",Supercup,ESC,CUP,,TIER_FOUR,"{'id': 1548, 'startDate': '2022-08-10', 'endDate': '2022-08-10', 'currentMatchday': None, 'winner': None}",9,2022-05-19T20:27:11Z
2058,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",UEFA Women's EURO,,CUP,,TIER_FOUR,"{'id': 62, 'startDate': '2017-07-16', 'endDate': '2017-08-06', 'currentMatchday': 3, 'winner': None}",1,2020-09-07T20:55:12Z
2174,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",Champions League Qualification,CLQ,CUP,,TIER_FOUR,"{'id': 1614, 'startDate': '2023-06-27', 'endDate': '2023-08-30', 'currentMatchday': 2, 'winner': None}",1,2023-07-22T15:21:33Z
2165,"{'id': 2077, 'name': 'Europe', 'code': 'EUR', 'flag': 'https://crests.football-data.org/EUR.svg'}",European Championship Qualifiers,ECQ,CUP,,TIER_FOUR,"{'id': 1538, 'startDate': '2023-03-25', 'endDate': '2023-11-19', 'currentMatchday': 8, 'winner': None}",1,2022-11-08T07:42:47Z
2059,"{'id': 2080, 'name': 'Finland', 'code': 'FIN', 'flag': 'https://crests.football-data.org/1976.svg'}",Suomen Cup,,CUP,,TIER_FOUR,"{'id': 689, 'startDate': '2021-01-24', 'endDate': '2021-10-31', 'currentMatchday': 3, 'winner': None}",4,2021-04-17T11:26:05Z
2031,"{'id': 2080, 'name': 'Finland', 'code': 'FIN', 'flag': 'https://crests.football-data.org/1976.svg'}",Veikkausliiga,VEI,LEAGUE,,TIER_THREE,"{'id': 1555, 'startDate': '2023-04-05', 'endDate': '2023-09-03', 'currentMatchday': 1, 'winner': None}",6,2020-11-14T18:00:09Z
2135,"{'id': 2081, 'name': 'France', 'code': 'FRA', 'flag': 'https://crests.football-data.org/773.svg'}",Coupe de la Ligue,,CUP,,TIER_FOUR,"{'id': 522, 'startDate': '2019-08-13', 'endDate': '2020-04-04', 'currentMatchday': None, 'winner': None}",3,2021-04-17T11:26:01Z
2142,"{'id': 2081, 'name': 'France', 'code': 'FRA', 'flag': 'https://crests.football-data.org/773.svg'}",Ligue 2,FL2,LEAGUE,https://crests.football-data.org/FL2.png,TIER_TWO,"{'id': 1596, 'startDate': '2023-08-05', 'endDate': '2024-05-17', 'currentMatchday': 12, 'winner': None}",26,2022-03-20T09:34:19Z
2015,"{'id': 2081, 'name': 'France', 'code': 'FRA', 'flag': 'https://crests.football-data.org/773.svg'}",Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,TIER_ONE,"{'id': 1595, 'startDate': '2023-08-13', 'endDate': '2024-05-18', 'currentMatchday': 10, 'winner': None}",80,2022-03-20T09:30:02Z
2144,"{'id': 2081, 'name': 'France', 'code': 'FRA', 'flag': 'https://crests.football-data.org/773.svg'}",Playoffs 2/3,,PLAYOFFS,,TIER_FOUR,"{'id': 212, 'startDate': '2018-05-22', 'endDate': '2018-05-27', 'currentMatchday': None, 'winner': None}",1,2018-09-25T15:07:37Z
2138,"{'id': 2081, 'name': 'France', 'code': 'FRA', 'flag': 'https://crests.football-data.org/773.svg'}",Coupe de France,,CUP,,TIER_FOUR,"{'id': 690, 'startDate': '2020-11-21', 'endDate': '2021-05-30', 'currentMatchday': None, 'winner': None}",4,2021-04-08T22:29:55Z
2143,"{'id': 2081, 'name': 'France', 'code': 'FRA', 'flag': 'https://crests.football-data.org/773.svg'}",Playoffs 1/2,FPL,PLAYOFFS,,TIER_FOUR,"{'id': 1483, 'startDate': '2022-05-17', 'endDate': '2022-05-20', 'currentMatchday': None, 'winner': None}",2,2022-05-19T19:56:53Z
2136,"{'id': 2081, 'name': 'France', 'code': 'FRA', 'flag': 'https://crests.football-data.org/773.svg'}",Trophée des Champions,,CUP,,TIER_FOUR,"{'id': 655, 'startDate': '2021-01-01', 'endDate': '2021-01-31', 'currentMatchday': None, 'winner': None}",4,2021-01-14T17:55:00Z
2011,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",DFB-Pokal,DFB,CUP,https://crests.football-data.org/DFB_CUP.png,TIER_TWO,"{'id': 1561, 'startDate': '2023-08-11', 'endDate': '2024-05-25', 'currentMatchday': None, 'winner': None}",68,2022-03-20T09:21:19Z
2129,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Regionalliga,REG,LEAGUE,,TIER_THREE,"{'id': 760, 'startDate': '2021-07-15', 'endDate': '2022-05-21', 'currentMatchday': 38, 'winner': None}",5,2023-05-01T08:21:04Z
2140,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",3. Bundesliga,BL3,LEAGUE,https://crests.football-data.org/BL3.png,TIER_THREE,"{'id': 1607, 'startDate': '2023-08-05', 'endDate': '2024-05-18', 'currentMatchday': 13, 'winner': None}",12,2022-03-20T10:38:24Z
2004,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",2. Bundesliga,BL2,LEAGUE,https://crests.football-data.org/BL2.png,TIER_TWO,"{'id': 1594, 'startDate': '2023-07-28', 'endDate': '2024-05-19', 'currentMatchday': 11, 'winner': None}",28,2022-03-20T08:57:46Z
2172,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Regionalliga Nord,RLN,LEAGUE,,TIER_FOUR,"{'id': 1611, 'startDate': '2023-07-28', 'endDate': '2024-05-18', 'currentMatchday': 14, 'winner': None}",2,2023-06-26T14:37:04Z
2002,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,TIER_ONE,"{'id': 1592, 'startDate': '2023-08-18', 'endDate': '2024-05-18', 'currentMatchday': 9, 'winner': None}",61,2022-03-20T08:52:53Z
2168,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Regionalliga West,RLW,LEAGUE,,TIER_FOUR,"{'id': 1610, 'startDate': '2023-07-28', 'endDate': '2024-05-18', 'currentMatchday': 13, 'winner': None}",2,2023-07-17T12:51:34Z
2169,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Regionalliga Nordost,RNO,LEAGUE,,TIER_FOUR,"{'id': 1601, 'startDate': '2023-07-30', 'endDate': '2024-05-19', 'currentMatchday': 15, 'winner': None}",2,2023-06-26T14:06:55Z
2133,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Frauen Bundesliga,,LEAGUE,,TIER_FOUR,"{'id': 142, 'startDate': '2017-09-02', 'endDate': '2018-06-03', 'currentMatchday': 22, 'winner': {'id': 7522, 'name': 'VfL Wolfsburg', 'shortName': None, 'tla': None, 'crest': None, 'address': 'null null null', 'website': None, 'founded': None, 'clubColors': None, 'venue': None, 'lastUpdated': '2018-10-03T20:17:40Z'}}",1,2018-06-05T00:09:39Z
2134,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",DFL Super Cup,GSC,SUPER_CUP,,TIER_FOUR,"{'id': 1591, 'startDate': '2023-08-12', 'endDate': '2023-08-12', 'currentMatchday': None, 'winner': None}",7,2023-02-27T19:12:59Z
2159,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Regionalliga Bayern,RBY,LEAGUE,,TIER_FOUR,"{'id': 1593, 'startDate': '2023-07-20', 'endDate': '2024-05-18', 'currentMatchday': 18, 'winner': None}",2,2022-07-20T10:36:06Z
2160,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Regionalliga Südwest,RSW,LEAGUE,,TIER_FOUR,"{'id': 1606, 'startDate': '2023-08-05', 'endDate': '2024-05-18', 'currentMatchday': 15, 'winner': None}",2,2023-07-17T12:44:01Z
2156,"{'id': 2088, 'name': 'Germany', 'code': 'DEU', 'flag': 'https://crests.football-data.org/759.svg'}",Relegation,BLREL,CUP,,TIER_FOUR,"{'id': 1567, 'startDate': '2023-06-01', 'endDate': '2023-06-06', 'currentMatchday': 2, 'winner': None}",3,2022-05-19T20:17:34Z
2131,"{'id': 2093, 'name': 'Greece', 'code': 'GRC', 'flag': 'https://crests.football-data.org/775.svg'}",Greek Cup,,CUP,,TIER_FOUR,"{'id': 656, 'startDate': '2020-11-01', 'endDate': '2021-05-30', 'currentMatchday': None, 'winner': None}",4,2021-04-17T11:25:53Z
2132,"{'id': 2093, 'name': 'Greece', 'code': 'GRC', 'flag': 'https://crests.football-data.org/775.svg'}",Super League,GSL,LEAGUE,,TIER_FOUR,"{'id': 1613, 'startDate': '2023-08-19', 'endDate': '2024-03-03', 'currentMatchday': 9, 'winner': None}",7,2021-05-05T09:12:51Z
2150,"{'id': 2093, 'name': 'Greece', 'code': 'GRC', 'flag': 'https://crests.football-data.org/775.svg'}",Souper Kap Ellados,,LEAGUE,,TIER_FOUR,"{'id': 684, 'startDate': '2007-10-31', 'endDate': '2007-10-31', 'currentMatchday': None, 'winner': None}",1,2021-02-05T07:21:43Z
2130,"{'id': 2106, 'name': 'Hungary', 'code': 'HUN', 'flag': 'https://crests.football-data.org/827.svg'}",Magyar Kupa,,CUP,,TIER_FOUR,"{'id': 696, 'startDate': '2020-09-16', 'endDate': '2021-05-30', 'currentMatchday': None, 'winner': None}",4,2021-04-17T11:25:47Z
2128,"{'id': 2106, 'name': 'Hungary', 'code': 'HUN', 'flag': 'https://crests.football-data.org/827.svg'}",NB I,HNB,LEAGUE,,TIER_THREE,"{'id': 1587, 'startDate': '2023-07-29', 'endDate': '2024-05-25', 'currentMatchday': 11, 'winner': None}",7,2021-04-17T00:00:21Z
2127,"{'id': 2107, 'name': 'Iceland', 'code': 'ISL', 'flag': 'https://crests.football-data.org/iceland.svg'}",Úrvalsdeild,,LEAGUE,,TIER_FOUR,"{'id': 585, 'startDate': '2020-04-22', 'endDate': '2020-09-26', 'currentMatchday': 10, 'winner': None}",3,2021-04-17T11:25:42Z
