year,week,symbol,change_percentage
2020,26,RAT,73.0
2020,25,VKC,39.0
2020,24,PPI,100.0
2020,23,VHG,67.0
2020,22,VCX,47.0
2020,21,PMT,66.0
2020,20,SSN,66.0
2020,19,NLS,50.0
2020,18,MLS,32.0
2020,17,VCX,67.0
2020,16,WTC,70.0
2020,15,C12,67.0
2020,14,DCR,41.0
2020,13,SCC,61.0
2020,12,STH,52.0
2020,11,VTX,72.0
2020,10,HKP,67.0
2020,9,PWA,42.0
2020,8,SHC,56.0
2020,7,NQN,51.0
2020,6,DAS,51.0
2020,5,PVV,25.0
2020,4,BHK,31.0
2020,3,TNW,72.0
2020,2,VHG,40.0
2020,1,SRB,25.0
2019,52,HCI,74.0
2019,51,HCI,71.0
2019,50,GTS,50.0
2019,49,PPI,50.0
2019,48,FRC,53.0
2019,47,SDA,35.0
2019,46,VCX,63.0
2019,45,PRO,42.0
2019,44,SCC,88.0
2019,43,NDP,48.0
2019,42,BAL,66.0
2019,41,BTV,45.0
2019,40,HNP,47.0
2019,39,NNG,33.0
2019,38,DST,44.0
2019,37,SCC,64.0
2019,36,NQN,37.0
2019,35,HES,49.0
2019,34,NQN,49.0
2019,33,LWS,74.0
2019,32,GSM,57.0
2019,31,SCC,71.0
2019,30,PMW,74.0
2019,29,FRC,73.0
2019,28,SSN,67.0
2019,27,BEL,69.0
2019,26,CCM,69.0
2019,25,SPC,74.0
2019,24,BTV,43.0
2019,23,DLT,69.0
2019,22,VPC,57.0
2019,21,VGL,73.0
2019,20,MVB,49.0
2019,19,VNX,74.0
2019,17,VNX,73.0
2019,16,HKB,50.0
2019,15,VIM,73.0
2019,14,VNX,66.0
2019,13,TVM,69.0
2019,12,CSI,71.0
2019,11,TSJ,50.0
2019,10,GVT,57.0
2019,9,L61,45.0
2019,8,BOT,73.0
2019,7,GND,31.0
2019,5,DLD,49.0
2019,4,LMC,49.0
2019,3,VHE,45.0
2019,2,XPH,35.0
2019,1,FTM,732.0
2018,52,MGG,55.0
2018,51,DAS,65.0
2018,50,GVT,32.0
2018,49,KTC,51.0
2018,48,TST,45.0
2018,47,NNG,43.0
2018,46,DDN,55.0
2018,45,XPH,57.0
2018,44,CVN,44.0
2018,43,YBC,71.0
2018,42,L12,45.0
2018,41,CGV,57.0
2018,40,ATG,30.0
2018,39,EME,74.0
2018,38,IME,50.0
2018,37,DTI,49.0
2018,36,DVW,50.0
2018,35,SRB,64.0
2018,34,NQN,71.0
2018,33,BDW,50.0
2018,32,SAP,60.0
2018,31,CEN,52.0
2018,30,FRM,47.0
2018,29,CEN,75.0
2018,28,ART,61.0
2018,27,NAW,72.0
2018,26,CMW,53.0
2018,25,BBT,72.0
2018,24,VIH,66.0
2018,23,HAV,46.0
2018,22,DC1,44.0
2018,21,EME,37.0
2018,20,EME,74.0
2018,19,PEQ,98.0
2018,18,SB1,30.0
2018,17,HDO,33.0
2018,16,NAW,72.0
2018,15,L63,50.0
2018,14,TBD,74.0
2018,13,CAT,56.0
2018,12,HAV,67.0
2018,11,VIH,49.0
2018,10,ARM,33.0
2018,9,HAV,61.0
2018,8,TUG,35.0
2018,6,LCS,39.0
2018,5,VCT,50.0
2018,4,LLM,48.0
2018,3,CMN,71.0
2018,2,PEQ,56.0
2018,1,VRG,49.0
2017,52,CMF,63.0
2017,51,VHF,50.0
2017,50,CCV,49.0
2017,49,THW,82.0
2017,48,BWS,51.0
2017,47,SNZ,73.0
2017,46,HU4,36.0
2017,45,TIE,30.0
2017,44,UPC,73.0
2017,43,POV,41.0
2017,42,SDY,54.0
2017,41,RGC,71.0
2017,40,ART,40.0
2017,39,UPC,51.0
2017,38,IFS,45.0
2017,37,RGC,67.0
2017,36,DFC,52.0
2017,35,VCT,54.0
2017,34,ART,74.0
2017,33,GER,66.0
2017,32,ART,73.0
2017,31,VRG,52.0
2017,30,VCX,53.0
2017,29,KSV,49.0
2017,28,UEM,58.0
2017,27,VNI,53.0
2017,26,VNI,45.0
2017,25,CQT,45.0
2017,24,VNA,54.0
2017,23,HMS,71.0
2017,22,BTU,49.0
2017,21,DVN,72.0
2017,20,PIS,50.0
2017,19,HLB,77.0
2017,18,TV3,21.0
2017,17,VCX,62.0
2017,16,NDC,32.0
2017,15,XHC,45.0
2017,14,TW3,48.0
2017,13,HEM,36.0
2017,12,DC1,71.0
2017,11,MH3,56.0
2017,10,HFC,74.0
2017,9,SPD,70.0
2017,8,KST,45.0
2017,7,SD8,80.0
2017,6,SGR,56.0
2017,4,UPH,31.0
2017,3,DPG,70.0
2017,2,SID,74.0
2017,1,TVB,51.0
2016,52,G36,51.0
2016,51,MTG,64.0
2016,50,IBC,67.0
2016,49,IBC,46.0
2016,48,PID,65.0
2016,47,DST,45.0
2016,46,PCG,33.0
2016,45,MVB,49.0
2016,44,BHN,75.0
2016,43,GTS,74.0
2016,42,SPD,44.0
2016,41,AGP,46.0
2016,40,VES,50.0
2016,39,TGP,50.0
2016,38,TGP,62.0
2016,37,ICC,67.0
2016,36,BWA,51.0
2016,35,SHG,24.0
2016,34,BWA,47.0
2016,33,SIC,47.0
2016,32,BSC,46.0
2016,31,PEQ,31.0
2016,30,DTV,74.0
2016,29,DTV,73.0
2016,28,DTV,46.0
2016,27,DTV,66.0
2016,26,SGS,51.0
2016,25,HPT,31.0
2016,24,DNC,32.0
2016,23,SSF,52.0
2016,22,SSF,51.0
2016,21,SIC,45.0
2016,20,DAC,69.0
2016,19,BVG,38.0
2016,18,AMC,20.0
2016,17,IHK,57.0
2016,16,QCC,47.0
2016,15,TDM,67.0
2016,14,CNT,60.0
2016,13,VLC,90.0
2016,12,XPH,67.0
2016,11,VLC,43.0
2016,10,KHL,32.0
2016,9,IN4,51.0
2016,8,SDC,43.0
2016,7,IME,74.0
2016,5,IME,72.0
2016,4,BCP,48.0
2016,3,RCD,41.0
2016,2,S27,45.0
2016,1,S27,56.0
2015,53,QPH,48.0
2015,52,VLC,38.0
2015,51,NCS,52.0
2015,50,NCS,74.0
2015,49,ICI,43.0
2015,48,GER,71.0
2015,47,VNP,58.0
2015,46,HPP,32.0
2015,45,CNC,31.0
2015,44,VHH,27.0
2015,43,PIV,45.0
2015,42,OCH,35.0
2015,41,VLF,31.0
2015,40,PTD,50.0
2015,39,DDN,49.0
2015,38,SSF,73.0
2015,37,SSF,51.0
2015,36,HVA,22.0
2015,35,TBD,39.0
2015,34,VNP,46.0
2015,33,SD1,44.0
2015,32,HPP,43.0
2015,31,CT3,51.0
2015,30,FBA,58.0
2015,29,CCM,32.0
2015,28,PSL,51.0
2015,27,DLR,44.0
2015,26,DC2,30.0
2015,25,C92,42.0
2015,24,SPI,42.0
2015,23,SHN,40.0
2015,22,AMV,39.0
2015,21,AVF,57.0
2015,20,CMC,31.0
2015,19,CCL,53.0
2015,17,TTG,40.0
2015,16,SDC,38.0
2015,15,SIC,36.0
2015,14,L14,22.0
2015,13,SAP,22.0
2015,12,TBD,42.0
2015,11,TBD,37.0
2015,10,SCC,40.0
2015,9,MIC,31.0
2015,7,MIC,36.0
2015,6,HDA,20.0
2015,5,PIV,43.0
2015,4,XPH,39.0
2015,3,XPH,44.0
2015,2,DDM,38.0
2014,52,VQC,95.0
2014,51,DDM,44.0
2014,50,NHA,36.0
2014,49,MAC,40.0
2014,48,SNC,45.0
2014,47,PPE,43.0
2014,46,PPE,41.0
2014,45,L14,36.0
2014,44,DTC,41.0
2014,43,L14,47.0
2014,42,HTP,44.0
2014,41,HNM,40.0
2014,40,SDG,32.0
2014,39,TVC,32.0
2014,38,BTW,33.0
2014,37,PSB,33.0
2014,36,NHA,20.0
2014,35,PIV,43.0
2014,34,DNC,30.0
2014,33,VTC,39.0
2014,32,VFC,38.0
2014,31,PTD,32.0
2014,30,DPP,43.0
2014,29,MWG,30.0
2014,28,VTX,24.0
2014,27,TKU,27.0
2014,26,SVN,31.0
2014,25,BXH,32.0
2014,24,VTL,44.0
2014,23,MKV,24.0
2014,22,VSI,25.0
2014,21,BHC,40.0
2014,20,SBS,37.0
2014,19,SBS,29.0
2014,17,PMT,41.0
2014,16,PTD,45.0
2014,15,SPC,29.0
2014,14,VNG,26.0
2014,13,PMT,31.0
2014,12,TTZ,42.0
2014,11,CTA,35.0
2014,10,NFC,46.0
2014,9,KST,43.0
2014,8,NAG,41.0
2014,7,CT6,39.0
2014,4,VE2,44.0
2014,3,VTA,33.0
2014,2,GGG,36.0
2014,1,GTT,224.00000000000003
2013,52,VFC,42.0
2013,51,SHN,37.0
2013,50,SHN,28.000000000000004
2013,49,SHN,44.0
2013,48,VSG,44.0
2013,47,PXM,36.0
2013,46,PSG,56.99999999999999
2013,45,BXH,43.0
2013,44,AMV,39.0
2013,43,VSG,50.0
2013,42,PSG,40.0
2013,41,MKV,34.0
2013,40,DBM,32.0
2013,39,TTZ,36.0
2013,37,TLT,57.99999999999999
2013,36,PGT,23.0
2013,35,SPC,32.0
2013,34,DTC,36.0
2013,33,TKU,43.0
2013,32,AMC,32.0
2013,31,STS,45.0
2013,30,DCL,26.0
2013,29,STL,24.0
2013,28,ITQ,39.0
2013,27,VHG,27.0
2013,26,SDB,36.0
2013,25,HAR,30.0
2013,24,HLG,25.0
2013,23,HNM,41.0
2013,22,SHN,40.0
2013,21,TS4,88.0
2013,20,GGG,44.0
2013,19,SDA,33.0
2013,17,BKC,31.0
2013,16,MIM,29.0
2013,15,SCL,37.0
2013,14,NHA,49.0
2013,13,VTA,37.0
2013,12,CAP,31.0
2013,11,TPH,32.0
2013,10,VBC,46.0
2013,9,PRC,20.0
2013,8,VDT,38.0
2013,6,TH1,35.0
2013,5,HLC,38.0
2013,4,PVR,33.0
2013,3,KCE,44.0
2013,2,DLR,56.00000000000001
2013,1,SPI,229.0
2012,52,HAT,26.0
2012,51,HDM,31.0
2012,50,PSG,40.0
2012,49,SCL,27.0
2012,48,VSG,50.0
2012,47,HDM,28.000000000000004
2012,46,SGS,28.000000000000004
2012,45,ADP,35.0
2012,43,VSG,22.0
2012,42,TGP,37.0
2012,41,DDM,31.0
2012,40,FLC,25.0
2012,39,FDC,20.0
2012,38,MPC,21.0
2012,37,VDT,27.0
2012,36,VIR,31.0
2012,35,FBA,38.0
2012,34,TET,21.0
2012,33,FBA,34.0
2012,32,PMT,40.0
2012,31,SPC,25.0
2012,30,H11,36.0
2012,29,APG,21.0
2012,28,FBA,27.0
2012,27,TGP,40.0
2012,26,KST,20.0
2012,25,FBA,33.0
2012,24,VIR,28.000000000000004
2012,23,SPC,46.0
2012,22,CAD,38.0
2012,21,ADP,34.0
2012,20,VIR,43.0
2012,19,CMI,29.0
2012,17,CAP,30.0
2012,16,CSC,29.0
2012,15,ADP,43.0
2012,13,DPP,42.0
2012,12,FBA,29.0
2012,11,DGT,42.0
2012,10,ND2,35.0
2012,9,SDK,31.0
2012,8,MIC,30.0
2012,7,PSC,24.0
2012,6,DGT,30.0
2012,5,PMT,42.0
2012,3,PMT,41.0
2012,2,APP,24.0
2012,1,CMS,24.0
2011,52,SGS,38.0
2011,51,SGS,35.0
2011,50,SGS,40.0
2011,49,BVN,41.0
2011,48,SCO,44.0
2011,47,SCO,28.000000000000004
2011,46,LM7,33.0
2011,45,BMJ,34.0
2011,44,PSP,21.0
2011,43,SHC,28.000000000000004
2011,42,CVN,20.0
2011,41,ABI,23.0
2011,40,DHT,28.000000000000004
2011,39,GTH,37.0
2011,38,HDM,37.0
2011,37,IHK,29.0
2011,36,GTH,44.0
2011,35,SRB,21.0
2011,34,TSB,29.0
2011,33,ND2,29.0
2011,32,CAN,20.0
2011,31,SCO,26.0
2011,30,DBM,20.0
2011,29,GTH,40.0
2011,28,BMJ,42.0
2011,27,BMJ,29.0
2011,26,NBW,28.000000000000004
2011,25,NBW,38.0
2011,24,VNR,22.0
2011,23,TIG,26.0
2011,22,ND2,34.0
2011,21,CVN,23.0
2011,20,HPT,27.0
2011,19,CAP,22.0
2011,17,BMJ,20.0
2011,16,PVV,21.0
2011,14,BHT,30.0
2011,13,NBW,41.0
2011,12,HDM,38.0
2011,11,BMC,21.0
2011,10,SGH,30.0
2011,8,ICI,37.0
2011,7,IN4,32.0
2011,6,MAS,22.0
2011,4,CVN,25.0
2011,3,CVN,32.0
2011,2,BSC,29.0
2010,52,SGS,684.0
2010,51,LCD,25.0
2010,50,SHC,23.0
2010,49,VNF,25.0
2010,48,LCC,50.0
2010,47,VE9,26.0
2010,46,LCD,47.0
2010,44,ICI,25.0
2010,43,DNC,21.0
2010,42,SCO,43.0
2010,41,SCO,31.0
2010,40,SCO,30.0
2010,39,VNX,31.0
2010,38,PIV,25.0
2010,37,CJC,25.0
2010,36,HDM,35.0
2010,32,DHT,27.0
2010,31,QTC,30.0
2010,30,PTP,30.0
2010,29,PTP,32.0
2010,28,CTC,31.0
2010,27,VIR,45.0
2010,26,BTW,46.0
2010,25,NBW,45.0
2010,24,VE9,30.0
2010,23,VE9,30.0
2010,22,STP,29.0
2010,21,PVE,28.0
2010,19,VE9,26.0
2010,18,TNB,38.0
2010,17,PVC,22.0
2010,16,TKC,22.0
2010,15,HHC,31.0
2010,14,TLT,28.0
2010,13,TGP,27.0
2010,12,SDY,21.0
2010,11,BMJ,37.0
2010,10,PTP,36.0
2010,9,VC5,28.0
2010,5,MCO,27.0
2010,4,RCL,22.0
2010,2,S96,30.0
2010,1,SHN,31.0
2009,53,S96,22.0
2009,52,SQC,31.0
2009,49,MHL,23.0
2009,45,YBC,30.0
2009,44,TKU,27.0
2009,43,DTC,31.0
2009,42,S12,31.0
2009,41,SD8,31.0
2009,40,S96,31.0
2009,39,VC6,30.0
2009,38,S96,30.0
2009,37,SD6,30.0
2009,36,TMC,22.0
2009,35,PVG,30.0
2009,34,SSM,29.0
2009,33,STL,30.0
2009,32,LBE,27.0
2009,31,VTL,25.0
2009,30,HIG,23.0
2009,29,DDN,33.0
2009,28,S74,21.0
2009,25,SJS,20.0
2009,24,TV4,30.0
2009,23,LTC,40.0
2009,22,TLT,28.0
2009,21,MIC,35.0
2009,20,SVC,30.0
2009,19,BVS,30.0
2009,16,RAL,21.0
2009,15,PSC,22.0
2009,14,CAP,29.0
2009,13,SDJ,25.0
2009,12,SDC,21.0
2009,11,LCG,20.0
2009,10,TLT,21.0
2009,9,CTC,22.0
2009,6,ONE,24.0
2009,2,SIC,27.0
2008,52,SVI,38.0
2008,51,NGC,24.0
2008,50,VNR,22.0
2008,49,LGC,20.0
2008,47,LBE,32.0
2008,46,DC4,21.0
2008,45,CCM,28.0
2008,44,VC7,20.0
2008,42,HLY,29.0
2008,41,CCM,28.0
2008,40,CCM,23.0
2008,39,VMC,26.0
2008,35,VMC,30.0
2008,34,VTS,31.0
2008,30,TV4,22.0
2008,11,VIP,21.0
2008,10,LBE,24.0
2008,7,CID,28.0
2008,5,SDY,41.0
2008,4,CMC,30.0
2008,3,LUT,23.0
2007,51,DCS,27.0
2007,49,TXM,28.0
2007,48,VDL,26.0
2007,44,HLY,26.0
2007,43,STP,46.0
2007,42,DAE,37.0
2007,41,S99,32.0
2007,40,SD5,46.0
2007,39,SCJ,46.0
2007,38,SCJ,21.0
2007,37,S99,37.0
2007,36,S99,31.0
2007,34,VSH,21.0
2007,32,BMC,21.0
2007,29,MCP,21.0
2007,28,CID,22.0
2007,26,BBT,21.0
2007,25,RCL,26.0
2007,23,TCT,21.0
2007,22,VTV,31.0
2007,21,HTP,23.0
2007,20,S99,35.0
2007,19,PSC,30.0
2007,15,SDA,23.0
2007,13,BMC,21.0
2007,12,ILC,46.0
2007,11,ILC,46.0
2007,10,SAP,46.0
2007,9,VTS,46.0
2007,7,S55,33.0
2007,6,CJC,51.0
2007,5,SDC,46.0
2007,4,CMC,23.0
2007,3,DAC,41.0
2007,2,VNR,46.0
2007,1,VBH,33.0
2006,52,CMC,40.0
2006,51,VTV,45.0
2006,50,VC2,46.0
2006,49,SJS,22.0
2006,48,ALT,21.0
2006,47,PPC,32.0
2006,38,DAC,21.0
2006,33,CYC,21.0
2006,27,UNI,21.0
2006,23,SGH,21.0
2006,17,TS4,21.0
2006,16,NHC,22.0
2006,15,TYA,21.0
2006,14,SGH,21.0
2006,13,SGH,21.0
2006,12,SGH,20.0
2006,11,LAF,20.0
2006,10,KHP,37.0
2004,44,LAF,21.0
2001,1,LAF,78.0
