code,language,countries,population,africa,africa_population,americas,americas_population,antarctic,antarctic_population,asia,asia_population,europe,europe_population,oceania,oceania_population
lat,Latin,1,451,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
lav,Latvian,1,1901548,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
lit,Lithuanian,1,2794700,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
loz,Lozi,1,2540916,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
ltz,Luxembourgish,1,632275,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
mkd,Macedonian,1,2077132,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
mlg,Malagasy,1,27691019,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
div,Maldivian,1,540542,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
mlt,Maltese,1,525285,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
mah,Marshallese,1,59194,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
mfe,Mauritian Creole,1,1265740,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
mon,Mongolian,1,3278292,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
cnr,Montenegrin,1,621718,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
mri,Māori,1,5084300,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
nau,Nauru,1,10834,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
ndc,Ndau,1,14862927,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
ndo,Ndonga,1,2540916,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
nep,Nepali,1,29136808,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
nzs,New Zealand Sign Language,1,5084300,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
nde,Northern Ndebele,1,14862927,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
nso,Northern Sotho,1,59308690,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
nob,Norwegian Bokmål,1,5379475,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
nno,Norwegian Nynorsk,1,5379475,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
pau,Palauan,1,18092,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
pus,Pashto,1,40218234,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
fas,Persian (Farsi),1,83992953,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
pol,Polish,1,37950802,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
roh,Romansh,1,8654622,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
smi,Sami,1,5379475,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
smo,Samoan,1,198410,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
sag,Sango,1,4829764,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
crs,Seychellois Creole,1,98462,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
sna,Shona,1,14862927,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
sin,Sinhala,1,21919000,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
slv,Slovene,1,2100126,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
som,Somali,1,15893219,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
ckb,Sorani,1,40222503,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
nbl,Southern Ndebele,1,59308690,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
gsw,Swiss German,1,8654622,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
tgk,Tajik,1,9537642,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
tet,Tetum,1,1318442,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
tha,Thai,1,69799978,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
tir,Tigrinya,1,5352000,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
tpi,Tok Pisin,1,8947027,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
toi,Tonga,1,14862927,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
ton,Tongan,1,105697,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
lua,Tshiluba,1,89561404,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
tvl,Tuvaluan,1,11792,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
ukr,Ukrainian,1,44134693,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
urd,Urdu,1,220892331,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
uzb,Uzbek,1,34232050,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
vie,Vietnamese,1,97338583,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
zib,Zimbabwean Sign Language,1,14862927,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
zul,Zulu,1,59308690,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
cal,Carolinian,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
cha,Chamorro,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
rar,Cook Islands Māori,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
fao,Faroese,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
kal,Greenlandic,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
nfr,Guernésiais,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
mey,Hassaniya,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
nrf,Jèrriais,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
glv,Manx,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
niu,Niuean,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
pih,Norfuk,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
nor,Norwegian,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
pap,Papiamento,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
tkl,Tokelauan,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
pov,Upper Guinea Creole,0,0,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
