type,color,ace_mode,tm_scope,language
programming,#c065db,lisp,source.emacs.lisp,Emacs Lisp
programming,#3fb68b,lisp,source.lisp,Common Lisp
programming,#FFCFAB,lisp,source.lisp,GCC Machine Description
programming,#4C3023,lisp,source.lisp,LFE
programming,#ff6375,lisp,source.lisp,NetLogo
programming,#87AED7,lisp,source.lisp,NewLisp
programming,#6067af,lisp,source.lisp,PicoLisp
programming,#3c5caa,lisp,source.racket,Racket
programming,#04133b,lisp,source.webassembly,WebAssembly
programming,#499886,livescript,source.livescript,LiveScript
programming,#3d9970,lsl,source.lsl,LSL
programming,#000080,lua,source.lua,Lua
programming,#00004c,lua,source.terra,Terra
programming,#427819,makefile,source.makefile,Makefile
programming,#e16737,matlab,source.matlab,MATLAB
programming,#7e7eff,nix,source.nix,Nix
programming,#438eff,objectivec,source.objc,Objective-C
programming,#6866fb,objectivec,source.objc++,Objective-C++
programming,#1ac620,ocaml,source.ats,ATS
programming,#3be133,ocaml,source.mligo,CameLIGO
programming,#ef7a08,ocaml,source.ocaml,OCaml
programming,#0e74ff,pascal,source.ligo,LigoLANG
programming,#B0CE4E,pascal,source.pascal,Component Pascal
programming,#E3F171,pascal,source.pascal,Pascal
programming,#0298c3,perl,source.perl,Perl
programming,#0000fb,perl,source.raku,Raku
programming,#336790,pgsql,source.sql,PLpgSQL
programming,#878787,php,source.hack,Hack
programming,#118f9e,php,source.php.zephir,Zephir
programming,#4F5D95,php,text.html.php,PHP
programming,#012456,powershell,source.powershell,PowerShell
programming,#ff2b2b,prolog,source.mercury,Mercury
programming,#74283c,prolog,source.prolog,Prolog
programming,#001d9d,prolog,source.prolog.eclipse,ECLiPSe
programming,#ee1e10,python,source.arr,Pyret
programming,#3572A5,python,source.python,Python
programming,,python,source.python,Sage
programming,#419179,python,source.python,Snakemake
programming,#76d275,python,source.python,Starlark
programming,#ff7f7f,python,source.renpy,Ren'Py
programming,#198CE7,r,source.r,R
programming,#000100,ruby,source.crystal,Crystal
programming,#c7a938,ruby,source.ruby,Mirah
programming,#701516,ruby,source.ruby,Ruby
programming,#844FBA,ruby,source.terraform,HCL
programming,#ff5847,rust,source.reason,Reason
programming,#ff5847,rust,source.religo,ReasonLIGO
programming,#ed5051,rust,source.rescript,ReScript
programming,#dea584,rust,source.rust,Rust
programming,#dea584,rust,source.sway,Sway
programming,#e5cd45,scad,source.scad,OpenSCAD
programming,#c22d40,scala,source.scala,Scala
programming,#0886a5,scheme,source.janet,Janet
programming,#c9df40,scheme,source.nu,Nu
programming,#1e4aec,scheme,source.scheme,Scheme
programming,#4E9906,sh,source.nushell,Nushell
programming,#0D597F,sh,source.shell,Alpine Abuild
programming,#9400ff,sh,source.shell,Gentoo Ebuild
programming,#9400ff,sh,source.shell,Gentoo Eclass
programming,,sh,source.shell,OpenRC runscript
programming,#89e051,sh,source.shell,Shell
programming,,sh,source.shell,Tcsh
programming,,sh,text.shell-session,ShellSession
programming,#f0c040,smarty,text.html.smarty,Smarty
programming,#dad8d8,sql,none,PLSQL
programming,#dce200,sql,source.hql,HiveQL
programming,#e38c00,sql,source.sql,SQLPL
programming,#e38c00,sql,source.tsql,TSQL
programming,#c1ac7f,tcl,source.tcl,Glyph
programming,#e4cc98,tcl,source.tcl,Tcl
programming,#999999,text,file.lasso,Lasso
programming,#aa2afe,text,none,Arc
programming,#9CC134,text,none,Augeas
programming,#00bce4,text,none,BitBake
programming,#00007a,text,none,CWeb
programming,,text,none,Charity
programming,,text,none,DIGITAL Command Language
programming,#cca760,text,none,Dogescript
programming,#ccce35,text,none,E
programming,#88ccff,text,none,FLUX
programming,#F6B900,text,none,Filebench WML
programming,,text,none,Filterscript
programming,#FFC766,text,none,GAML
programming,#f49a22,text,none,GAMS
programming,#fb855d,text,none,Genie
programming,,text,none,HyPhy
programming,#99AAFF,text,none,ImageJ Macro
programming,#28430A,text,none,KRL
programming,,text,none,Limbo
programming,#315665,text,none,Literate Agda
programming,,text,none,M
programming,,text,none,MiniD
programming,,text,none,Module Management System
programming,,text,none,Moocode
programming,,text,none,Myghty
programming,#9C8AF9,text,none,NumPy
programming,#cabbff,text,none,Omgrofl
programming,#cdd0e3,text,none,Oxygene
programming,#f3ca0a,text,none,Parrot
programming,,text,none,Parrot Assembly
programming,#8f0f8d,text,none,PowerBuilder
programming,#5a6986,text,none,PureBasic
programming,#9d5200,text,none,Ragel
programming,,text,none,Redcode
programming,,text,none,RenderScript
programming,#DE3941,text,none,RouterOS Script
programming,#0579aa,text,none,Self
programming,#A0AA87,text,none,TI Program
programming,#d67711,text,none,Zimpl
programming,#004289,text,source.4dm,4D
programming,#555e25,text,source.abapcds,ABAP CDS
programming,#5ce600,text,source.abl,OpenEdge ABL
programming,#315665,text,source.agda,Agda
programming,#34EB6B,text,source.aidl,AIDL
programming,#3AA2B5,text,source.al,AL
programming,#64C800,text,source.alloy,Alloy
programming,#E6EFBB,text,source.ampl,AMPL
programming,#C7D7DC,text,source.angelscript,AngelScript
programming,#9DC3FF,text,source.antlr,ANTLR
programming,#5A8164,text,source.apl,APL
programming,,text,source.asl,ASL
programming,#a957b0,text,source.aspectj,AspectJ
programming,#c30e9b,text,source.awk,Awk
programming,#FF5000,text,source.ballerina,Ballerina
programming,#ff0000,text,source.basic,BASIC
programming,,text,source.befunge,Befunge
programming,#15A13C,text,source.berry,Berry
programming,#2F2530,text,source.bf,Brainfuck
programming,#519aba,text,source.bicep,Bicep
programming,#00FFAE,text,source.blitzmax,BlitzBasic
programming,#cd6400,text,source.blitzmax,BlitzMax
programming,#d4bec1,text,source.boo,Boo
programming,#c80fa0,text,source.boogie,Boogie
programming,#66AABB,text,source.brs,BrighterScript
programming,#662D91,text,source.brs,Brightscript
programming,#814CCC,text,source.bsl,1C Enterprise
programming,#913960,text,source.c.ec,eC
programming,#00ef8b,text,source.cadence,Cadence
programming,#ff4a48,text,source.cairo,Cairo
programming,#c42727,text,source.capnp,Cap'n Proto
programming,#0092d1,text,source.cds,CAP CDS
programming,#dfa535,text,source.ceylon,Ceylon
programming,#8dc63f,text,source.chapel,Chapel
programming,#707575,text,source.circom,Circom
programming,#db901e,text,source.clarion,Clarion
programming,#3F85AF,text,source.clean,Clean
programming,#E4E6F3,text,source.click,Click
programming,#00A300,text,source.clips,CLIPS
programming,#DA3434,text,source.cmake,CMake
programming,,text,source.cool,Cool
programming,#d0b68c,text,source.coq,Coq
programming,,text,source.css.mss,CartoCSS
programming,#5886E1,text,source.cue,CUE
programming,#34c0eb,text,source.cypher,Cypher
programming,#fedf5b,text,source.cython,Cython
programming,#003a52,text,source.data-weave,DataWeave
programming,#6c616e,text,source.dylan,Dylan
programming,#2af0ff,text,source.earthfile,Earthly
programming,#8a1267,text,source.ecl,ECL
programming,#55BB55,text,source.elvish,Elvish
programming,#55BB55,text,source.elvish-transcript,Elvish Transcript
programming,#FF790B,text,source.euphoria,Euphoria
programming,#636746,text,source.factor,Factor
programming,#14253c,text,source.fan,Fantom
programming,#7b9db4,text,source.fancy,Fancy
programming,#c37240,text,source.faust,Faust
programming,#4aae47,text,source.fish,fish
programming,#fff3d7,text,source.fnl,Fennel
programming,#4d41b1,text,source.fortran,Fortran
programming,#4d41b1,text,source.fortran.modern,Fortran Free Form
programming,#b845fc,text,source.fsharp,F#
programming,#572e30,text,source.fstar,F*
programming,#ffcc33,text,source.ftl,Fluent
programming,#5f021f,text,source.futhark,Futhark
programming,#0000cc,text,source.gap,GAP
programming,,text,source.gdb,GDB
programming,#355570,text,source.gdscript,GDScript
programming,#63408e,text,source.genero,Genero
programming,#ffaff3,text,source.gleam,Gleam
programming,#f0a9f0,text,source.gnuplot,Gnuplot
programming,#88562A,text,source.golo,Golo
programming,#82937f,text,source.gosu.2,Gosu
programming,#615f8b,text,source.grace,Grace
programming,#0e60e3,text,source.harbour,Harbour
programming,#403a40,text,source.harbour,xBase
programming,#aace60,text,source.hlsl,HLSL
programming,#00b171,text,source.hoon,hoon
programming,#7790B2,text,source.hy,Hy
programming,#a3522f,text,source.idl,IDL
programming,#b30000,text,source.idris,Idris
programming,#0000cc,text,source.igor,IGOR Pro
programming,#16cec6,text,source.imba,Imba
programming,,text,source.inform7,Inform 7
programming,,text,source.ink,Ink
programming,#264b99,text,source.inno,Inno Setup
programming,#078193,text,source.ioke,Ioke
programming,#FEFE00,text,source.isabelle.root,Isabelle ROOT
programming,#FEFE00,text,source.isabelle.theory,Isabelle
programming,#9EEDFF,text,source.j,J
programming,#d90e09,text,source.jcl,JCL
programming,#DBCA00,text,source.jflex,JFlex
programming,#56b3cb,text,source.jison,Jison
programming,#56b3cb,text,source.jisonlex,Jison Lex
programming,#843179,text,source.jolie,Jolie
programming,#c7254e,text,source.jq,jq
programming,#ff0c5a,text,source.js.objj,Objective-J
programming,#0064bd,text,source.jsonnet,Jsonnet
programming,#384d54,text,source.just,Just
programming,#6f8042,text,source.kakscript,KakouneScript
programming,#41adf0,text,source.kerboscript,KerboScript
programming,#A97BFF,text,source.kotlin,Kotlin
programming,,text,source.lean,Lean
programming,#DBCA00,text,source.lex,Lex
programming,#9ccc7c,text,source.lilypond,LilyPond
programming,#244776,text,source.litcoffee,Literate CoffeeScript
programming,#185619,text,source.llvm,LLVM
programming,,text,source.logos,Logos
programming,#295b9a,text,source.logtalk,Logtalk
programming,#cc9900,text,source.lolcode,LOLCODE
programming,,text,source.loomscript,LoomScript
programming,#d8ffff,text,source.m2,Macaulay2
programming,,text,source.m4,M4
programming,,text,source.m4,M4Sugar
programming,#dd1100,text,source.mathematica,Mathematica
programming,#00a6a6,text,source.maxscript,MAXScript
programming,#E22837,text,source.mcfunction,mcfunction
programming,#007800,text,source.meson,Meson
programming,#02b046,text,source.mint,Mint
programming,#dc566d,text,source.ml,Standard ML
programming,#5EC8DB,text,source.mlir,MLIR
programming,#fbb03b,text,source.mo,Motoko
programming,#de1d31,text,source.modelica,Modelica
programming,#223388,text,source.modula-3,Modula-3
programming,#10253f,text,source.modula2,Modula-2
programming,,text,source.monkey,Monkey
programming,#ff4585,text,source.moonscript,MoonScript
programming,#4a137a,text,source.move,Move
programming,#3d57c3,text,source.msl,mIRC Script
programming,#244963,text,source.mupad,mupad
programming,#1d2c4e,text,source.nasal,Nasal
programming,,text,source.nasl,NASL
programming,#28431f,text,source.ncl,NCL
programming,#990000,text,source.ne,Nearley
programming,#3d3c6e,text,source.nemerle,Nemerle
programming,#94B0C7,text,source.nesc,nesC
programming,#0aa0ff,text,source.netlinx,NetLinx
programming,#747faa,text,source.netlinx.erb,NetLinx+ERB
programming,#ffc200,text,source.nim,Nim
programming,#009917,text,source.nit,Nit
programming,,text,source.nsis,NSIS
programming,#424893,text,source.objectscript,ObjectScript
programming,#60AFFE,text,source.odin,Odin
programming,#b0b77e,text,source.ooc,ooc
programming,,text,source.opa,Opa
programming,#f7ede0,text,source.opal,Opal
programming,,text,source.ox,Ox
programming,#fab738,text,source.oz,Oz
programming,#7055b5,text,source.p4,P4
programming,#F7A8B8,text,source.pact,Pact
programming,#cc0000,text,source.pan,Pan
programming,#6600cc,text,source.papyrus.skyrim,Papyrus
programming,,text,source.parrot.pir,Parrot Internal Representation
programming,#dbb284,text,source.pawn,Pawn
programming,#0d00ff,text,source.pddl,PDDL
programming,#C76F5B,text,source.pep8,Pep8
programming,#fcd7de,text,source.pig_latin,PigLatin
programming,#005390,text,source.pike,Pike
programming,#d80074,text,source.pogoscript,PogoScript
programming,#ae81ff,text,source.polar,Polar
programming,,text,source.pony,Pony
programming,#f8bd00,text,source.portugol,Portugol
programming,#6bac65,text,source.pov-ray sdl,POV-Ray SDL
programming,#0096D8,text,source.processing,Processing
programming,#de0000,text,source.promela,Promela
programming,#302B6D,text,source.puppet,Puppet
programming,#285EEF,text,source.python,Xonsh
programming,#0040cd,text,source.q,q
programming,#AA70FF,text,source.qasm,OpenQASM
programming,#140f46,text,source.ql,CodeQL
programming,,text,source.qmake,QMake
programming,#44a51c,text,source.qml,QML
programming,#fed659,text,source.qsharp,Q#
programming,#882233,text,source.quake,Quake
programming,#fffaa0,text,source.rascal,Rascal
programming,#358a5b,text,source.rebol,Rebol
programming,#f50000,text,source.red,Red
programming,#7d9199,text,source.rego,Open Policy Agent
programming,#d90e09,text,source.rexx,REXX
programming,#FFDAB3,text,source.rez,Rez
programming,#2D54CB,text,source.ring,Ring
programming,#2BDE21,text,source.rpgle,RPGLE
programming,#B34936,text,source.sas,SAS
programming,#fdc700,text,source.scenic,Scenic
programming,#ca0f21,text,source.scilab,Scilab
programming,#64b970,text,source.sed,sed
programming,#222c37,text,source.shaderlab,ShaderLab
programming,#120F14,text,source.shen,Shen
programming,,text,source.sieve,Sieve
programming,#64E6AD,text,source.singularity,Singularity
programming,#003fa2,text,source.slice,Slice
programming,,text,source.smali,Smali
programming,#596706,text,source.smalltalk,Smalltalk
programming,#c44536,text,source.smithy,Smithy
programming,#c94949,text,source.smpl,SmPL
programming,,text,source.smt,SMT
programming,#AA6746,text,source.solidity,Solidity
programming,#f69e1d,text,source.sourcepawn,SourcePawn
programming,#7fa2a7,text,source.spin,Propeller Spin
programming,#3F3F3F,text,source.sqf,SQF
programming,#b2011d,text,source.stan,Stan
programming,#1a5f91,text,source.stata,Stata
programming,#46390b,text,source.supercollider,SuperCollider
programming,#F05138,text,source.swift,Swift
programming,#333333,text,source.talon,Talon
programming,#D12127,text,source.thrift,Thrift
programming,#4b0079,text,source.tla,TLA
programming,#cf142b,text,source.turing,Turing
programming,#0178b8,text,source.txl,TXL
programming,#239dad,text,source.typst,Typst
programming,#ccccee,text,source.ur,UrWeb
programming,#148AA8,text,source.varnish.vcl,VCL
programming,#867db1,text,source.vba,VBA
programming,#141AC9,text,source.vbnet,FreeBasic
programming,,text,source.vbnet,REALbasic
programming,#15dcdc,text,source.vbnet,VBScript
programming,#945db7,text,source.vbnet,Visual Basic .NET
programming,#2c6353,text,source.vbnet,Visual Basic 6.0
programming,#199f4b,text,source.viml,Vim Script
programming,#2980b9,text,source.vyper,Vyper
programming,#42f1f4,text,source.wdl,WDL
programming,,text,source.webidl,WebIDL
programming,#1a5e9a,text,source.wgsl,WGSL
programming,#d5c397,text,source.whiley,Whiley
programming,#ff0000,text,source.witcherscript,Witcher Script
programming,#a23738,text,source.wollok,Wollok
programming,#383838,text,source.wren,Wren
programming,#4B6BEF,text,source.x10,X10
programming,#81bd41,text,source.xojo,Xojo
programming,#24255d,text,source.xtend,Xtend
programming,#6A463F,text,source.yacc,Bison
programming,#4B6C4B,text,source.yacc,Yacc
programming,#220000,text,source.yara,YARA
programming,#794932,text,source.yul,Yul
programming,#0d665e,text,source.zap,ZAP
programming,,text,source.zeek,Zeek
programming,#00BCD1,text,source.zenscript,ZenScript
programming,#ec915c,text,source.zig,Zig
programming,#dc75e5,text,source.zil,ZIL
programming,#FFEC25,text,text.dfy.dafny,Dafny
programming,#5B2063,text,text.gherkin.feature,Gherkin
programming,#9400ff,text,text.html.asp,ASP.NET
programming,#6a40fd,text,text.html.asp,Classic ASP
programming,#7e858d,text,text.html.mako,Mako
programming,#007eff,text,text.html.slash,Slash
programming,#3572A5,text,text.python.console,Python console
programming,#00c0b5,text,text.robot,RobotFramework
programming,#5e5086,text,text.tex.latex.haskell,Literate Haskell
programming,#3178c6,typescript,source.ts,TypeScript
programming,#a56de2,vala,source.vala,Vala
programming,#12223c,verilog,source.bsv,Bluespec
programming,#DAE1C2,verilog,source.systemverilog,SystemVerilog
programming,#C40023,verilog,source.tlverilog,TL-Verilog
programming,#b2b7f8,verilog,source.verilog,Verilog
programming,#adb2cb,vhdl,source.vhdl,VHDL
programming,#21D789,xml,none,JetBrains MPS
programming,#fede06,xml,text.xml,LabVIEW
programming,,xml,text.xml,XProc
programming,#951531,xml,text.xml.genshi,Genshi
programming,#EB8CEB,xml,text.xml.xsl,XSLT
programming,#5232e7,xquery,source.xq,XQuery
programming,#B5314C,yaml,source.cwl,Common Workflow Language
programming,#FBEE96,yaml,source.denizenscript,DenizenScript
programming,#773b37,yaml,source.yaml,Kaitai Struct
programming,#652B81,yaml,source.yaml,LookML
programming,#646464,yaml,source.yaml.salt,SaltStack
