gender,competition,year,host,champion,champion_former,champion_score,runner_up,runner_up_former,runner_up_score,third_place,third_place_former,fourth_place,fourth_place_former
male,AFC Asian Cup,1972,Thailand,Iran,,,South Korea,,,Thailand,,Cambodia,Khmer Republic
male,AFC Asian Cup,1976,Iran,Iran,,,Kuwait,,,China,,Iraq,
male,AFC Asian Cup,1980,Kuwait,Kuwait,,,South Korea,,,Iran,,North Korea,
male,AFC Asian Cup,1984,Singapore,Saudi Arabia,,,China,,,Kuwait,,Iran,
male,AFC Asian Cup,1988,Qatar,Saudi Arabia,,,South Korea,,,Iran,,China,
male,AFC Asian Cup,1992,Japan,Japan,,,Saudi Arabia,,,China,,United Arab Emirates,
male,AFC Asian Cup,1996,UAE,Saudi Arabia,,,United Arab Emirates,,,Iran,,Kuwait,
male,AFC Asian Cup,2000,Lebanon,Japan,,,Saudi Arabia,,,South Korea,,China,
male,AFC Asian Cup,2004,China,Japan,,,China,,,Iran,,Bahrain,
male,AFC Asian Cup,2007,Indonesia;Malaysia;Thailand;Vietnam,Iraq,,,Saudi Arabia,,,South Korea,,Japan,
male,AFC Asian Cup,2011,Qatar,Japan,,,Australia,,,South Korea,,Uzbekistan,
male,AFC Asian Cup,2015,Australia,Australia,,,South Korea,,,United Arab Emirates,,Iraq,
male,AFC Asian Cup,2019,UAE,Qatar,,,Japan,,,,,,
male,AFF Cup,1996,Singapore,Thailand,,1,Malaysia,,0,,,,
male,AFF Cup,1998,Vietnam,Singapore,,1,Vietnam,,0,,,,
male,AFF Cup,2000,Thailand,Thailand,,4,Indonesia,,1,,,,
male,AFF Cup,2002,Indonesia,Thailand,,2,Indonesia,,2,,,,
male,AFF Cup,,Singapore,,,,,,,,,,
male,AFF Cup,2004,Malaysia,Singapore,,3,Indonesia,,1,,,,
male,AFF Cup,,Vietnam,,,2,,,1,,,,
male,AFF Cup,2007,Singapore,Singapore,,2,Thailand,,1,,,,
male,AFF Cup,,Thailand,,,1,,,1,,,,
male,AFF Cup,2008,Indonesia,Vietnam,,2,Thailand,,1,,,,
male,AFF Cup,,Thailand,,,1,,,1,,,,
male,AFF Cup,2010,Indonesia,Malaysia,,3,Indonesia,,0,,,,
male,AFF Cup,,Vietnam,,,1,,,2,,,,
male,AFF Cup,2012,Malaysia,Singapore,,3,Thailand,,1,,,,
male,AFF Cup,,Thailand,,,0,,,1,,,,
male,AFF Cup,2014,Singapore,Thailand,,2,Malaysia,,0,,,,
male,AFF Cup,,Vietnam,,,2,,,3,,,,
male,AFF Cup,2016,Myanmar,Thailand,,1,Indonesia,,2,,,,
male,AFF Cup,,Philippines,,,2,,,0,,,,
male,AFF Cup,2018,,Vietnam,,2,Malaysia,,2,,,,
male,AFF Cup,,,,,1,,,0,,,,
male,AFF Cup,2020,Singapore,Thailand,,4,Indonesia,,0,,,,
male,AFF Cup,,,,,2,,,2,,,,
male,AFF Cup,2022,,Thailand,,2,Vietnam,,2,,,,
male,AFF Cup,,,,,1,,,0,,,,
male,Copa América,1919,,Brazil,,1,Uruguay,,0,,,,
male,Copa América,1922,,Brazil,,3,Paraguay,,0,,,,
male,Copa América,1937,,Argentina,,2,Brazil,,0,,,,
male,Copa América,1949,,Brazil,,7,Paraguay,,0,,,,
male,Copa América,1953,,Paraguay,,3,Brazil,,2,,,,
male,Copa América,1975,,Peru,,,Colombia,,,,,,
male,Copa América,"1979 ",,Paraguay,,,Chile,,,,,,
male,Copa América,1983,,Uruguay,,,Brazil,,,,,,
male,Copa América,1987,,Uruguay,,1,"Chile ",,0,,,,
male,Copa América,1993,,Argentina,,2,Mexico,,1,,,,
male,Copa América,1995,,Uruguay,,1,Brazil,,1,,,,
male,Copa América,1997,,Brazil,,3,Bolivia,,1,,,,
male,Copa América,1999,,Brazil,,3,Uruguay,,0,,,,
male,Copa América,2001,,Colombia,,1,Mexico,,0,,,,
male,Copa América,2004,,Brazil,,2,Argentina,,2,,,,
male,Copa América,2007,,Brazil,,3,Argentina,,0,,,,
male,Copa América,2011,,Uruguay,,3,Paraguay,,0,,,,
male,Copa América,2015,,Chile,,0,Argentina,,0,,,,
male,Copa América,2016,,Chile,,0,Argentina,,0,,,,
male,Copa América,"2019 ",,Brazil,,3,Peru,,1,,,,
male,Copa América,"2021 ",,Argentina,,1,Brazil,,0,,,,
male,FIFA Confederations Cup,1992,Saudi Arabia,"Argentina ",,3,"Saudi Arabia ",,1,,,,
male,FIFA Confederations Cup,1995,Saudi Arabia,Denmark,,2,"Argentina ",,0,,,,
male,FIFA Confederations Cup,1997,Saudi Arabia,"Brazil ",,6,Australia,,0,,,,
male,FIFA Confederations Cup,1999,Mexico,Mexico,,4,"Brazil ",,3,,,,
male,FIFA Confederations Cup,2001,South Korea;Japan,France,,1,Japan,,0,,,,
male,FIFA Confederations Cup,2003,France,France,,1,"Cameroon ",,0,,,,
male,FIFA Confederations Cup,2005,Germany,Brazil,,4,Argentina,,1,,,,
male,FIFA Confederations Cup,2009,South Africa,Brazil,,3,"United States ",,2,,,,
male,FIFA Confederations Cup,2013,Brazil,Brazil,,3,Spain,,0,,,,
male,FIFA Confederations Cup,2017,Russia,Germany,,1,Chile,,0,,,,
female,FIFA Women's World Cup,1991,China,United States,,,Norway,,,Sweden,,Germany,
female,FIFA Women's World Cup,1995,Sweden,Norway,,,Germany,,,United States,,China,
female,FIFA Women's World Cup,1999,United States,United States,,,China,,,Brazil,,Norway,
female,FIFA Women's World Cup,2003,United States,Germany,,,Sweden,,,United States,,Canada,
female,FIFA Women's World Cup,2007,China,Germany,,,United States,,,United States,,Norway,
female,FIFA Women's World Cup,2011,Germany,Japan,,,United States,,,Sweden,,France,
female,FIFA Women's World Cup,2015,Canada,United States,,,Japan,,,England,,Germany,
female,FIFA Women's World Cup,2019,France,United States,,,Netherlands,,,Sweden,,England,
