number,name,state,position,president,end
104,Anthony Kennedy,California,Associate Justice,Ronald Reagan,none
105,David Souter,New Hampshire,Associate Justice,George H. W. Bush,none
106,Clarence Thomas,Georgia,Associate Justice,George H. W. Bush,Incumbent
107,Ruth Bader Ginsburg,New York,Associate Justice,Bill Clinton,none
108,Stephen Breyer,Massachusetts,Associate Justice,Bill Clinton,none
109,John Roberts,Maryland,Chief Justice,George W. Bush,Incumbent
110,Samuel Alito,New Jersey,Associate Justice,George W. Bush,Incumbent
111,Sonia Sotomayor,New York,Associate Justice,Barack Obama,Incumbent
112,Elena Kagan,Massachusetts,Associate Justice,Barack Obama,Incumbent
113,Neil Gorsuch,Colorado,Associate Justice,Donald Trump,Incumbent
114,Brett Kavanaugh,Maryland,Associate Justice,Donald Trump,Incumbent
115,Amy Coney Barrett,Indiana,Associate Justice,Donald Trump,Incumbent
116,Ketanji Brown Jackson,"Washington, D.C.",Associate Justice,Joe Biden,Incumbent
