time_class,competition_tour,competition,year,host_city,host_state,host_country,champion,champion_country,runner_up,runner_up_country,third_place,third_place_country,Unnamed: 13,Unnamed: 14
classical,World Championship,Grand Prix,2012-13,,,,Veselin Topalov,Bulgaria,Shakhriyar Mamedyarov,Azerbaijan,Fabiano Caruana,Italy,,
classical,World Championship,Grand Prix,2014-15,,,,Fabiano Caruana,Italy,Hikaru Nakamura,United States,Dmitry Jakovenko,Russia,,
classical,World Championship,Grand Prix,2017,,,,Shakhriyar Mamedyarov,Azerbaijan,Alexander Grischuk,Russia,Teimour Radjabov,Azerbaijan,,
classical,World Championship,Grand Prix,2019,,,,Alexander Grischuk,Russia,Ian Nepomniachtchi,Russia,Maxime Vachier-Lagrave,France,,
classical,World Championship,Grand Prix,2022,,,,Hikaru Nakamura,United States,Richárd Rapport,Hungary,Wesley So,United States,,
classical,World Championship,Grand Swiss,2019,Santon,,Isle of Man,Wang Hao,China,Fabiano Caruana,United States ,Kirill Alekseenko,Russia,,
classical,World Championship,Grand Swiss,2021,Riga,,Latvia,Alireza Firouzja,France,Fabiano Caruana,United States ,Grigoriy Oparin,Russia,,
classical,World Championship,Grand Swiss,2023,Douglas,,Isle of Man,Gujrathi Vidit,India,Hikaru Nakamura,United States,Andrey Esipenko,Russia,,
classical,World Championship,World Championship,1948,The Hague;Moscow,,Netherlands;Soviet Union,Mikhail Botvinnik,Russia,Vasily Smyslov,Russia,,,,
classical,World Championship,World Championship,1951,Moscow,,Soviet Union,Mikhail Botvinnik,Russia,David Bronstein,,,,,
classical,World Championship,World Championship,1954,Moscow,,Soviet Union,Mikhail Botvinnik,Russia,Vasily Smyslov,Russia,,,,
classical,World Championship,World Championship,1957,Moscow,,Soviet Union,Vasily Smyslov,Russia,Mikhail Botvinnik,Russia,,,,
classical,World Championship,World Championship,1958,Moscow,,Soviet Union,Mikhail Botvinnik,Russia,Vasily Smyslov,Russia,,,,
classical,World Championship,World Championship,1960,Moscow,,Soviet Union,Mikhail Tal,,Mikhail Botvinnik,Russia,,,,
classical,World Championship,World Championship,1961,Moscow,,Soviet Union,Mikhail Botvinnik,Russia,Mikhail Tal,,,,,
classical,World Championship,World Championship,1963,Moscow,,Soviet Union,Tigran Petrosian,,Mikhail Botvinnik,Russia,,,,
classical,World Championship,World Championship,1966,Moscow,,Soviet Union,Tigran Petrosian,,Boris Spassky,,,,,
classical,World Championship,World Championship,1969,Moscow,,Soviet Union,Boris Spassky,,Tigran Petrosian,,,,,
classical,World Championship,World Championship,1972,Reykjavík,,Iceland,Bobby Fischer,,Boris Spassky,,,,,
classical,World Championship,World Championship,1975,Manila,,Philippines,Anatoly Karpov,,Bobby Fischer,,,,,
classical,World Championship,World Championship,1978,Baguio,,Philippines,Anatoly Karpov,,Viktor Korchnoi,,,,,
classical,World Championship,World Championship,1981,Merano,,Italy,Anatoly Karpov,,Viktor Korchnoi,,,,,
classical,World Championship,World Championship,1985,Moscow,,Soviet Union,Garry Kasparov,,Anatoly Karpov,,,,,
classical,World Championship,World Championship,1986,London;Leningrad,,United Kingdom;Soviet Union,Garry Kasparov,,Anatoly Karpov,,,,,
classical,World Championship,World Championship,1987,Seville,,Spain,Garry Kasparov,,Anatoly Karpov,,,,,
classical,World Championship,World Championship,1990,New York City;Lyon,,United States;France,Garry Kasparov,,Anatoly Karpov,,,,,
classical,World Championship,World Championship,1993,Zwolle;Arnhem;Amsterdam;Jakarta,,Netherlands;Indonesia,Anatoly Karpov,,Jan Timman,,,,,
classical,World Championship,World Championship,1996,Elista,,Russia,Anatoly Karpov,,Gata Kamsky,,,,,
classical,World Championship,World Championship,1998,Groningen;Lausanne,,Netherlands;Switzerland,Anatoly Karpov,,Viswanathan Anand,,,,,
classical,World Championship,World Championship,1999,Las Vegas ,,United States,Alexander Khalifman,,Vladimir Akopian,,,,,
classical,World Championship,World Championship,2000,New Delhi;Tehran,,India;Iran,Viswanathan Anand,,Alexei Shirov,,,,,
classical,World Championship,World Championship,2002,Moscow,,Russia,Ruslan Ponomariov,,Vasyl Ivanchuk,Ukraine,,,,
classical,World Championship,World Championship,2004,Tripoli ,,Libya,Rustam Kasimdzhanov,,Michael Adams,,,,,
classical,World Championship,World Championship,2005,Potrero de los Funes;San Luis,,Argentina,Veselin Topalov,,Viswanathan Anand,,,,,
classical,World Championship,World Championship,2006,Elista,,Russia,Vladimir Kramnik,,Veselin Topalov,,,,,
classical,World Championship,World Championship,2007,Mexico City,,Mexico,Viswanathan Anand,India,Vladimir Kramnik,,,,,
classical,World Championship,World Championship,2008,Bonn,,Germany,Viswanathan Anand,India,Vladimir Kramnik,,,,,
classical,World Championship,World Championship,2010,Sofia,,Bulgaria,Viswanathan Anand,India,Veselin Topalov,,,,,
classical,World Championship,World Championship,2012,Moscow,,Russia,Viswanathan Anand,India,Boris Gelfand,,,,,
classical,World Championship,World Championship,2013,Chennai,,India,Magnus Carlsen,Norway,Viswanathan Anand,India,,,,
classical,World Championship,World Championship,2014,Sochi,,Russia,Magnus Carlsen,Norway,Viswanathan Anand,India,,,,
classical,World Championship,World Championship,2016,New York City,,United States,Magnus Carlsen,Norway,Sergey Karjakin,,,,,
classical,World Championship,World Championship,2018,London,,United Kingdom,Magnus Carlsen,Norway,Fabiano Caruana,,,,,
classical,World Championship,World Championship,2021,Dubai,,United Arab Emirates,Magnus Carlsen,Norway,Ian Nepomniachtchi,Russia,,,,
classical,World Championship,World Championship,2023,Astana,,Kazakhstan,Ding Liren,China,Ian Nepomniachtchi,Russia,,,,
classical,World Championship,World Cup,2005,Khanty-Mansiysk,,Russia,Levon Aronian,Armenia,Ruslan Ponomariov,Ukraine,,,,
classical,World Championship,World Cup,2007,Khanty-Mansiysk,,Russia,Gata Kamsky,United States,Alexei Shirov,Spain,,,,
classical,World Championship,World Cup,2009,Khanty-Mansiysk,,Russia,Boris Gelfand,Israel,Ruslan Ponomariov,Ukraine,,,,
classical,World Championship,World Cup,2011,Khanty-Mansiysk,,Russia,Peter Svidler,Russia,Alexander Grischuk,Russia,,,,
classical,World Championship,World Cup,2013,Tromsø,,Norway,Vladimir Kramnik,Russia,Dmitry Andreikin,Russia,,,,
classical,World Championship,World Cup,2015,Baku,,Azerbaijan,Sergey Karjakin,Russia,Peter Svidler,Russia,,,,
classical,World Championship,World Cup,2017,Tbilisi,,Georgia,Levon Aronian,Armenia,Ding Liren,China,,,,
classical,World Championship,World Cup,2019,Khanty-Mansiysk,,Russia,Teimour Radjabov,Azerbaijan,Ding Liren,China,,,,
classical,World Championship,World Cup,2021,Sochi,,Russia,Jan-Krzysztof Duda,Poland,Sergey Karjakin,Russia,,,,
blitz,World Rapid & Blitz,World Blitz,2006,Rishon Lezion,,Israel,Alexander Grischuk,Russia,Peter Svidler,,,,,
blitz,World Rapid & Blitz,World Blitz,2007,Moscow,,Russia,Vasyl Ivanchuk,Ukraine,Viswanathan Anand,India,,,,
blitz,World Rapid & Blitz,World Blitz,2008,Almaty,,Kazakhstan,Leinier Domínguez,,Vasyl Ivanchuk,Ukraine,,,,
blitz,World Rapid & Blitz,World Blitz,2009,Moscow,,Russia,Magnus Carlsen,Norway,Viswanathan Anand,India,,,,
blitz,World Rapid & Blitz,World Blitz,2010,Moscow,,Russia,Levon Aronian,,Teimour Radjabov,,,,,
blitz,World Rapid & Blitz,World Blitz,2012,Astana,,Kazakhstan,Alexander Grischuk,Russia,Magnus Carlsen,Norway,,,,
blitz,World Rapid & Blitz,World Blitz,2013,Khanty-Mansiysk,,Russia,Lê Quang Liêm,Vietnam,Alexander Grischuk,Russia,,,,
blitz,World Rapid & Blitz,World Blitz,2014,Dubai,,United Arab Emirates,Magnus Carlsen,Norway,Ian Nepomniachtchi,Russia,,,,
blitz,World Rapid & Blitz,World Blitz,2015,Berlin,,Germany,Alexander Grischuk,Russia,Maxime Vachier-Lagrave,France,,,,
blitz,World Rapid & Blitz,World Blitz,2016,Doha,,Qatar,Sergey Karjakin,Russia,Magnus Carlsen,Norway,,,,
blitz,World Rapid & Blitz,World Blitz,2017,Riyadh,,Saudi Arabia,Magnus Carlsen,Norway,Sergey Karjakin,,,,,
blitz,World Rapid & Blitz,World Blitz,2018,Saint Petersburg,,Russia,Magnus Carlsen,Norway,Jan-Krzysztof Duda,Poland,,,,
blitz,World Rapid & Blitz,World Blitz,2019,Moscow,,Russia,Magnus Carlsen,Norway,Hikaru Nakamura,United States,,,,
blitz,World Rapid & Blitz,World Blitz,2021,Warsaw,,Poland,Maxime Vachier-Lagrave,France,Jan-Krzysztof Duda,Poland,,,,
blitz,World Rapid & Blitz,World Blitz,2022,Almaty,,Kazakhstan,Magnus Carlsen,Norway,Hikaru Nakamura,United States,,,,
rapid,World Rapid & Blitz,World Rapid,2012,Astana,,Kazakhstan,Sergey Karjakin,Russia,Magnus Carlsen,Norway,Veselin Topalov,,,
rapid,World Rapid & Blitz,World Rapid,2013,Khanty-Mansiysk,,Russia,Shakhriyar Mamedyarov,Azerbaijan,Ian Nepomniachtchi,Russia,Alexander Grischuk,,,
rapid,World Rapid & Blitz,World Rapid,2014,Dubai,,United Arab Emirates,Magnus Carlsen,Norway,Fabiano Caruana,United States,Viswanathan Anand,India,,
rapid,World Rapid & Blitz,World Rapid,2015,Berlin,,Germany,Magnus Carlsen,Norway,Ian Nepomniachtchi,Russia,Teimour Radjabov,,,
rapid,World Rapid & Blitz,World Rapid,2016,Doha,,Qatar,Vasyl Ivanchuk,Ukraine,Alexander Grischuk,Russia,Magnus Carlsen,Norway,,
rapid,World Rapid & Blitz,World Rapid,2017,Riyadh,,Saudi Arabia,Viswanathan Anand,India,Vladimir Fedoseev,,Ian Nepomniachtchi,Russia,,
rapid,World Rapid & Blitz,World Rapid,2018,Saint Petersburg,,Russia,Daniil Dubov,Russia,Shakhriyar Mamedyarov,Azerbaijan,Hikaru Nakamura,United States,,
rapid,World Rapid & Blitz,World Rapid,2019,Moscow,,Russia,Magnus Carlsen,Norway,Alireza Firouzja,France,Hikaru Nakamura,United States,,
rapid,World Rapid & Blitz,World Rapid,2021,Warsaw,,Poland,Nodirbek Abdusattorov,Uzbekistan,Ian Nepomniachtchi,Russia,Magnus Carlsen,Norway,,
rapid,World Rapid & Blitz,World Rapid,2022,Almaty,,Kazakhstan,Magnus Carlsen,Norway,Vincent Keymer,Germany,Fabiano Caruana,United States,,
classical,,US Chess Championship,1874,,,United States,Walter Browne,United States,,,,,,
classical,,US Chess Championship,1936,,,United States,Samuel Reshevsky,United States,,,,,,
classical,,US Chess Championship,1938,,,United States,Samuel Reshevsky,United States,,,,,,
classical,,US Chess Championship,1940,,,United States,Samuel Reshevsky,United States,,,,,,
classical,,US Chess Championship,1941,,,United States,Samuel Reshevsky,United States,,,,,,
classical,,US Chess Championship,1942,,,United States,Samuel Reshevsky,United States,,,,,,
classical,,US Chess Championship,1944,,,United States,Arnold Denker,United States,,,,,,
classical,,US Chess Championship,1946,,,United States,Arnold Denker,United States,,,,,,
classical,,US Chess Championship,1946,,,United States,Samuel Reshevsky,United States,,,,,,
classical,,US Chess Championship,1948,,,United States,Herman Steiner,United States,,,,,,
classical,,US Chess Championship,1951,,,United States,Larry Evans,United States,,,,,,
classical,,US Chess Championship,1952,,,United States,Larry Evans,United States,,,,,,
classical,,US Chess Championship,1954,,,United States,Arthur Bisguier,United States,,,,,,
classical,,US Chess Championship,1957,,,United States,Samuel Reshevsky,United States,,,,,,
classical,,US Chess Championship,1957,,,United States,Bobby Fischer,United States,,,,,,
classical,,US Chess Championship,1958,,,United States,Bobby Fischer,United States,,,,,,
classical,,US Chess Championship,1959,,,United States,Bobby Fischer,United States,,,,,,
classical,,US Chess Championship,1960,,,United States,Bobby Fischer,United States,,,,,,
classical,,US Chess Championship,1961,,,United States,Larry Evans,United States,,,,,,
classical,,US Chess Championship,1962,,,United States,Bobby Fischer ,United States,,,,,,
classical,,US Chess Championship,1963,,,United States,Bobby Fischer ,United States,,,,,,
classical,,US Chess Championship,1965,,,United States,Bobby Fischer ,United States,,,,,,
classical,,US Chess Championship,1966,,,United States,Bobby Fischer ,United States,,,,,,
classical,,US Chess Championship,1968,,,United States,Larry Evans,United States,,,,,,
classical,,US Chess Championship,1969,,,United States,Samuel Reshevsky,United States,,,,,,
classical,,US Chess Championship,1972,,,United States,Robert Byrne,United States,,,,,,
classical,,US Chess Championship,1973,,,United States,Lubomir Kavalek,United States,,,,,,
classical,,US Chess Championship,1973,,,United States,John Grefe,United States,,,,,,
classical,,US Chess Championship,1975,,,United States,Walter Browne,United States,,,,,,
classical,,US Chess Championship,1977,,,United States,Walter Browne,United States,,,,,,
classical,,US Chess Championship,1978,,,United States,Lubomir Kavalek,United States,,,,,,
classical,,US Chess Championship,1980,,,United States,Walter Browne,United States,,,,,,
classical,,US Chess Championship,1980,,,United States,Larry Christiansen,United States,,,,,,
classical,,US Chess Championship,1980,,,United States,Larry Evans,United States,,,,,,
classical,,US Chess Championship,1981,,,United States,Walter Browne,United States,,,,,,
classical,,US Chess Championship,1981,,,United States,Lubomir Kavalek,United States,,,,,,
classical,,US Chess Championship,1983,,,United States,Walter Browne,United States,,,,,,
classical,,US Chess Championship,1983,,,United States,Larry Christiansen,United States,,,,,,
classical,,US Chess Championship,1983,,,United States,Roman Dzindzichashvili,United States,,,,,,
classical,,US Chess Championship,1984,,,United States,Lev Alburt,United States,,,,,,
classical,,US Chess Championship,1985,,,United States,Lev Alburt,United States,,,,,,
classical,,US Chess Championship,1986,,,United States,Yasser Seirawan,United States,,,,,,
classical,,US Chess Championship,1987,,,United States,Joel Benjamin,United States,,,,,,
classical,,US Chess Championship,1987,,,United States,Nick de Firmian,United States,,,,,,
classical,,US Chess Championship,1988,,,United States,Michael Wilder,United States,,,,,,
classical,,US Chess Championship,1989,,,United States,Roman Dzindzichashvili,United States,,,,,,
classical,,US Chess Championship,1989,,,United States,Stuart Rachels,United States,,,,,,
classical,,US Chess Championship,1989,,,United States,Yasser Seirawan,United States,,,,,,
classical,,US Chess Championship,1990,,,United States,Lev Alburt,United States,,,,,,
classical,,US Chess Championship,1991,,,United States,Gata Kamsky,United States,,,,,,
classical,,US Chess Championship,1992,,,United States,Patrick Wolff,United States,,,,,,
classical,,US Chess Championship,1993,,,United States,Alexander Shabalov ,United States,,,,,,
classical,,US Chess Championship,1993,,,United States,Alex Yermolinsky,United States,,,,,,
classical,,US Chess Championship,1994,,,United States,Boris Gulko,United States,,,,,,
classical,,US Chess Championship,1995,,,United States,Nick de Firmian,United States,,,,,,
classical,,US Chess Championship,1995,,,United States,Patrick Wolff,United States,,,,,,
classical,,US Chess Championship,1995,,,United States,Alexander Ivanov,United States,,,,,,
classical,,US Chess Championship,1996,,,United States,Alex Yermolinsky,United States,,,,,,
classical,,US Chess Championship,1997,,,United States,Joel Benjamin,United States,,,,,,
classical,,US Chess Championship,1998,,,United States,Nick de Firmian,United States,,,,,,
classical,,US Chess Championship,1999,,,United States,Boris Gulko,United States,,,,,,
classical,,US Chess Championship,2000,,,United States,Joel Benjamin,United States,,,,,,
classical,,US Chess Championship,2000,,,United States,Alexander Shabalov,United States,,,,,,
classical,,US Chess Championship,2000,,,United States,Yasser Seirawan,United States,,,,,,
classical,,US Chess Championship,2002,,,United States,Larry Christiansen,United States,,,,,,
classical,,US Chess Championship,2003,,,United States,Alexander Shabalov,United States,,,,,,
classical,,US Chess Championship,2005,,,United States,Hikaru Nakamura,United States,,,,,,
classical,,US Chess Championship,2006,,,United States,Alexander Onischuk,United States,,,,,,
classical,,US Chess Championship,2007,,,United States,Alexander Shabalov,United States,,,,,,
classical,,US Chess Championship,2008,,,United States,Yury Shulman,United States,,,,,,
classical,,US Chess Championship,2009,,,United States,Hikaru Nakamura,United States,,,,,,
classical,,US Chess Championship,2010,,,United States,Gata Kamsky,United States,,,,,,
classical,,US Chess Championship,2011,,,United States,Gata Kamsky,United States,,,,,,
classical,,US Chess Championship,2012,,,United States,Hikaru Nakamura,United States,,,,,,
classical,,US Chess Championship,2013,,,United States,Gata Kamsky,United States,,,,,,
classical,,US Chess Championship,2014,,,United States,Gata Kamsky,United States,,,,,,
classical,,US Chess Championship,2015,,,United States,Hikaru Nakamura,United States,,,,,,
classical,,US Chess Championship,2016,,,United States,Fabiano Caruana,United States,,,,,,
classical,,US Chess Championship,2017,,,United States,Wesley So,United States,,,,,,
classical,,US Chess Championship,2018,,,United States,Samuel Shankland,United States,,,,,,
classical,,US Chess Championship,2019,,,United States,Hikaru Nakamura,United States,,,,,,
classical,,US Chess Championship,2020,,,United States,Wesley So,United States,,,,,,
classical,,US Chess Championship,2021,,,United States,Wesley So,United States,,,,,,
classical,,US Chess Championship,2022,,,United States,Fabiano Caruana,United States,,,,,,
classical,,US Chess Championship,2023,,,United States,Fabiano Caruana,United States,,,,,,
