country,languages,number_of_languages
Kuwait,Arabic,1
Laos,Lao,1
Latvia,Latvian,1
Liberia,English,1
Libya,Arabic,1
Liechtenstein,German,1
Lithuania,Lithuanian,1
Maldives,Maldivian,1
Mali,French,1
Mauritania,Arabic,1
Mexico,Spanish,1
Micronesia,English,1
Moldova,Moldavian,1
Monaco,French,1
Mongolia,Mongolian,1
Montenegro,Montenegrin,1
Mozambique,Portuguese,1
Myanmar,Burmese,1
Nepal,Nepali,1
Netherlands,Dutch,1
Nicaragua,Spanish,1
Niger,French,1
Nigeria,English,1
North Korea,Korean,1
North Macedonia,Macedonian,1
Oman,Arabic,1
Panama,Spanish,1
Poland,Polish,1
Portugal,Portuguese,1
Qatar,Arabic,1
Romania,Romanian,1
Russia,Russian,1
Saint Kitts and Nevis,English,1
Saint Lucia,English,1
Saint Vincent and the Grenadines,English,1
San Marino,Italian,1
Saudi Arabia,Arabic,1
Senegal,French,1
Serbia,Serbian,1
Sierra Leone,English,1
Slovakia,Slovak,1
Slovenia,Slovene,1
Solomon Islands,English,1
South Korea,Korean,1
South Sudan,English,1
Spain,Spanish,1
Suriname,Dutch,1
Sweden,Swedish,1
Syria,Arabic,1
São Tomé and Príncipe,Portuguese,1
Thailand,Thai,1
Togo,French,1
Trinidad and Tobago,English,1
Tunisia,Arabic,1
Turkey,Turkish,1
Ukraine,Ukrainian,1
United Arab Emirates,Arabic,1
United Kingdom,English,1
United States,English,1
Uruguay,Spanish,1
Venezuela,Spanish,1
Vietnam,Vietnamese,1
Yemen,Arabic,1
Zambia,English,1
