type,color,extensions,tm_scope,ace_mode,language_id,language,codemirror_mode,codemirror_mime_type,aliases,filenames,group,interpreters,searchable,wrap,fs_name
data,#f26025,['.vdf'],source.keyvalues,text,544060961,Valve Data Format,,,"['keyvalues', 'vdf']",,,,,,
data,,['.mtl'],source.wavefront.mtl,text,392,Wavefront Material,,,,,,,,,
data,,['.obj'],source.wavefront.obj,text,393,Wavefront Object,,,,,,,,,
data,#5b70bd,['.owl'],text.xml,xml,394,Web Ontology Language,,,,,,,,,
data,,['.vtt'],text.vtt,text,658679714,WebVTT,,,['vtt'],,,,,True,
data,,,source.wgetrc,text,668457123,Wget Config,,,['wgetrc'],['.wgetrc'],INI,,,,
data,,['.mc'],source.win32-messages,ini,950967261,Win32 Message File,properties,text/x-properties,,,,,,,
data,#52d5ff,['.reg'],source.reg,ini,969674868,Windows Registry Entries,properties,text/x-properties,,,,,,,
data,#f7e43f,['.toc'],source.toc,text,396,World of Warcraft Addon Data,,,,,,,,,
data,,['.xbm'],source.c,c_cpp,782911107,X BitMap,clike,text/x-csrc,['xbm'],,C,,,,
data,,,source.fontdir,text,208700028,X Font Directory Index,,,,"['encodings.dir', 'fonts.alias', 'fonts.dir', 'fonts.scale']",,,,,
data,,"['.xpm', '.pm']",source.c,c_cpp,781846279,X PixMap,clike,text/x-csrc,['xpm'],,C,,,,
data,,,config.xcompose,text,225167241,XCompose,,,,"['.XCompose', 'XCompose', 'xcompose']",,,,,
data,#0060ac,"['.xml', '.adml', '.admx', '.ant', '.axaml', '.axml', '.builds', '.ccproj', '.ccxml', '.clixml', '.cproject', '.cscfg', '.csdef', '.csl', '.csproj', '.ct', '.depproj', '.dita', '.ditamap', '.ditaval', '.dll.config', '.dotsettings', '.filters', '.fsproj', '.fxml', '.glade', '.gml', '.gmx', '.grxml', '.gst', '.hzp', '.iml', '.ivy', '.jelly', '.jsproj', '.kml', '.launch', '.mdpolicy', '.mjml', '.mm', '.mod', '.mxml', '.natvis', '.ncl', '.ndproj', '.nproj', '.nuspec', '.odd', '.osm', '.pkgproj', '.pluginspec', '.proj', '.props', '.ps1xml', '.psc1', '.pt', '.qhelp', '.rdf', '.res', '.resx', '.rs', '.rss', '.sch', '.scxml', '.sfproj', '.shproj', '.srdf', '.storyboard', '.sublime-snippet', '.sw', '.targets', '.tml', '.ts', '.tsx', '.ui', '.urdf', '.ux', '.vbproj', '.vcxproj', '.vsixmanifest', '.vssettings', '.vstemplate', '.vxml', '.wixproj', '.workflow', '.wsdl', '.wsf', '.wxi', '.wxl', '.wxs', '.x3d', '.xacro', '.xaml', '.xib', '.xlf', '.xliff', '.xmi', '.xml.dist', '.xmp', '.xproj', '.xsd', '.xspec', '.xul', '.zcml']",text.xml,xml,399,XML,xml,text/xml,"['rss', 'xsd', 'wsdl']","['.classpath', '.cproject', '.project', 'App.config', 'NuGet.config', 'Settings.StyleCop', 'Web.Debug.config', 'Web.Release.config', 'Web.config', 'packages.config']",,,,,
data,#0060ac,"['.plist', '.stTheme', '.tmCommand', '.tmLanguage', '.tmPreferences', '.tmSnippet', '.tmTheme']",text.xml.plist,xml,75622871,XML Property List,xml,text/xml,,,XML,,,,
data,,"['.xsp-config', '.xsp.metadata']",text.xml,xml,400,XPages,xml,text/xml,,,,,,,
data,#cb171e,"['.yml', '.mir', '.reek', '.rviz', '.sublime-syntax', '.syntax', '.yaml', '.yaml-tmlanguage', '.yaml.sed', '.yml.mysql']",source.yaml,yaml,407,YAML,yaml,text/x-yaml,['yml'],"['.clang-format', '.clang-tidy', '.gemrc', 'CITATION.cff', 'glide.lock', 'yarn.lock']",,,,,
data,,['.yang'],source.yang,text,408,YANG,,,,,,,,,
data,,,source.curlrc,text,992375436,cURL Config,,,['curlrc'],"['.curlrc', '_curlrc']",INI,,,,
data,,"['.desktop', '.desktop.in', '.service']",source.desktop,text,412,desktop,,,,,,,,,
data,,['.dircolors'],source.dircolors,text,691605112,dircolors,,,,"['.dir_colors', '.dircolors', 'DIR_COLORS', '_dir_colors', '_dircolors', 'dir_colors']",,,,,
data,,['.edn'],source.clojure,clojure,414,edn,clojure,text/x-clojure,,,,,,,
